genus,species,subspecies,variant,wood
Jacaranda,decurrens,,,woody
Acacia,decurrens,,,woody
Miconia,decurrens,,,woody
Calocedrus,decurrens,,,woody
Libocedrus,decurrens,,,woody
Rubus,decurrentispinus,,,woody
Rhaphidophora,decursiva,,,non-woody
Goodenia,decursiva,,,woody
Rubus,decurtatus,,,woody
Pterostylis,decurva,,,non-woody
Aloe,decurva,,,non-woody
Fargesia,decurvata,,,woody
Habenaria,decurvirostris,,,non-woody
Allocasuarina,decussata,,,woody
Pouteria,decussata,,,woody
Strychnos,decussata,,,woody
Canscora,decussata,,,non-woody
Phlox,decussata,,,non-woody
Rytigynia,decussata,,,woody
Euphorbia,decussata,,,woody
Prostanthera,decussata,,,woody
Melaleuca,decussata,,,woody
Strychnos,decussata,,,woody
Allocasuarina,decussata,,,woody
Casuarina,decussata,,,woody
Pouteria,decussata,,,woody
Anthodon,decussatum,,,woody
Anthodon,decussatum,,,woody
Aspidosperma,decussatum,,,woody
Euphorbia,dedzana,,,woody
Crotalaria,dedzana,,,non-woody
Pourouma,deeplob,,,woody
Calamus,deerratus,,,woody
Chusquea,deficiens,,,woody
Acacia,deficiens,,,woody
Nepeta,deflersiana,,,non-woody
Myrcia,deflexa,,,woody
Psychotria,deflexa,,,woody
Psychotria,deflexa,,,woody
Psychotria,deflexa,,,woody
Myrcia,deflexa,,,woody
Brachiaria,deflexa,,,non-woody
Aulonemia,deflexa,,,non-woody
Eragrostis,deflexa,,,non-woody
Festuca,deflexa,,,non-woody
Pseudobrachiaria,deflexa,,,non-woody
Chusquea,deflexa,,,woody
Lappula,deflexa,,,non-woody
Brassica,deflexa,,,non-woody
Oxytropis,deflexa,,,non-woody
Clarkia,deflexa,,,non-woody
Oenothera,deflexa,,,non-woody
Psychotria,deflexa,,,woody
Photinia,deflexa,,,woody
Symplocos,deflexa,,,woody
Eucalyptus,deflexa,,,woody
Myrcia,deflexa,,,woody
Baccaurea,deflexa,,,woody
Eriobotrya,deflexa,,,woody
Rinorea,deflexiflora,,,woody
Rinorea,deflexiflora,,,woody
Rinorea,deflexiflora,,,woody
Rinorea,deflexiflora,,,woody
Pycnostachys,deflexifolia,,,woody
Eriogonum,deflexum,,,non-woody
Clerodendrum,deflexum,,,woody
Dichapetalum,deflexum,,,woody
Amaranthus,deflexus,,,non-woody
Amaranthus,deflexus,,,non-woody
Enkianthus,deflexus,,,woody
Carduus,defloratus,,,non-woody
Carduus,defloratus,,,non-woody
Carduus,defloratus,,,non-woody
Comesperma,defoliatum,,,woody
Pheladenia,deformis,,,non-woody
Schoenus,deformis,,,non-woody
Caladenia,deformis,,,non-woody
Leucopogon,deformis,,,woody
Eucalyptus,deformis,,,woody
Chionochloa,defracta,,,non-woody
Allocasuarina,defungens,,,woody
Hedyotis,degeneri,,,non-woody
Euphorbia,degeneri,,,woody
Festuca,degenii,,,non-woody
Aconitum,degenii,,,non-woody
Sorbus,degenii,,,woody
Eucalyptus,deglupta,,,woody
Eucalyptus,deglupta,,,woody
Eucalyptus,deglupta,,,woody
Eucalyptus,deglupta,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Rhododendron,degronianum,,,woody
Heteropyxis,dehniae,,,woody
Camellia,dehungensis,,,woody
Indigofera,deightonii,,,non-woody
Crotalaria,deightonii,,,non-woody
Astracantha,deinacantha,,,woody
Crassula,dejecta,,,semi-woody
Triumfetta,dekindtiana,,,woody
Dimorphanthera,dekockii,,,woody
Dracophilus,delaetianum,,,non-woody
Epinetrum,delagoense,,,woody
Erythroxylum,delagoense,,,woody
Phyllanthus,delagoensis,,,non-woody
Hippocratea,delagoensis,,,woody
Vernonia,delapsa,,,woody
Ligustrum,delavayanum,,,woody
Silene,delavayi,,,non-woody
Castanopsis,delavayi,,,woody
Castanopsis,delavayi,,,woody
Helictotrichon,delavayi,,,non-woody
Thalictrum,delavayi,,,non-woody
Colutea,delavayi,,,woody
Schefflera,delavayi,,,woody
Clethra,delavayi,,,woody
Castanopsis,delavayi,,,woody
Pterocarya,delavayi,,,woody
Quercus,delavayi,,,woody
Abies,delavayi,,,woody
Docynia,delavayi,,,woody
Magnolia,delavayi,,,woody
Koeleria,delavignei,,,non-woody
Eucalyptus,delegatensis,,,woody
Eucalyptus,delegatensis,,,woody
Chrysophyllum,delevoyi,,,woody
Entandrophragma,delevoyi,,,woody
Entandrophragma,delevoyi,,,woody
Chrysophyllum,delevoyi,,,woody
Dussia,delgada,,,woody
Eucalyptus,delicata,,,woody
Digitaria,delicata,,,non-woody
Clarkia,delicata,,,non-woody
Goodenia,delicata,,,non-woody
Euphorbia,delicatissima,,,non-woody
Neea,delicatula,,,woody
Neea,delicatula,,,woody
Neea,delicatula,,,woody
Agrostis,delicatula,,,non-woody
Digitaria,delicatula,,,non-woody
Ehrharta,delicatula,,,non-woody
Chusquea,delicatula,,,woody
Neea,delicatula,,,woody
Panicum,delicatulum,,,non-woody
Gymnopogon,delicatulus,,,non-woody
Chimonocalamus,delicatus,,,non-woody
Pouteria,deliciosa,,,woody
Actinidia,deliciosa,,,woody
Monstera,deliciosa,,,woody
Vaccinium,deliciosum,,,woody
Rubus,deliciosus,,,woody
Crithopsis,delileana,,,non-woody
Agrostis,delislei,,,non-woody
Eremophila,delisseri,,,woody
Solanum,delitescens,,,woody
Scleranthus,delorti,,,non-woody
Lotus,delortii,,,non-woody
Caesalpinia,delphinensis,,,woody
Dalbergia,delphinensis,,,woody
Aconitum,delphinifolium,,,non-woody
Ipomoea,delphinioides,,,semi-woody
Phyllanthus,delpyanus,,,woody
Phyllanthus,delpyanus,,,woody
Aubrieta,deltoidea,,,non-woody
Aubrieta,deltoidea,,,non-woody
Ficus,deltoidea,,,woody
Iriartea,deltoidea,,,woody
Iriartea,deltoidea,,,woody
Ficus,deltoidea,,,woody
Aubrieta,deltoidea,,,non-woody
Anemone,deltoidea,,,non-woody
Cineraria,deltoidea,,,non-woody
Viguiera,deltoidea,,,non-woody
Balsamorhiza,deltoidea,,,non-woody
Ambrosia,deltoidea,,,woody
Iriartea,deltoidea,,,woody
Aloe,deltoideodonta,,,semi-woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Dianthus,deltoides,,,non-woody
Dianthus,deltoides,,,non-woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Oenothera,deltoides,,,non-woody
Populus,deltoides,,,woody
Dianthus,deltoides,,,semi-woody
Populus,deltoides,,,woody
Dianthus,deltoides,,,non-woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Dianthus,deltoides,,,non-woody
Dianthus,deltoides,,,non-woody
Dianthus,deltoides,,,non-woody
Dianthus,deltoides,,,non-woody
Dianthus,deltoides,,,non-woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Dianthus,deltoides,,,non-woody
Oenothera,deltoides,,,non-woody
Synurus,deltoides,,,non-woody
Oscularia,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Populus,deltoides,,,woody
Cyrtococcum,deltoideum,,,non-woody
Senecio,deltoideus,,,semi-woody
Axonopus,deludens,,,non-woody
Trattinnickia,demerarae,,,woody
Pouteria,demerarae,,,woody
Protium,demerarense,,,woody
Ceratophyllum,demersum,,,non-woody
Ceratophyllum,demersum,,,non-woody
Ceratophyllum,demersum,,,non-woody
Ceratophyllum,demersum,,,non-woody
Ceratophyllum,demersum,,,non-woody
Guibourtia,demeusei,,,woody
Guibourtia,demeusei,,,woody
Erica,demissa,,,woody
Carex,demissa,,,non-woody
Anemone,demissa,,,non-woody
Hymenophyllum,demissum,,,non-woody
Hymenophyllum,demissum,,,non-woody
Nama,demissum,,,non-woody
Sisyrinchium,demissum,,,non-woody
Hyalosperma,demissum,,,non-woody
Micrantheum,demissum,,,woody
Rubus,demissus,,,woody
Convolvulus,demissus,,,non-woody
Epitriche,demissus,,,non-woody
Ranunculus,demissus,,,non-woody
Catapodium,demnatense,,,non-woody
Taraxacum,demotes,,,non-woody
Vaccinium,dempoense,,,woody
Melaleuca,dempta,,,woody
Diospyros,dendo,,,woody
Diospyros,dendo,,,woody
Polystachya,dendrobiiflora,,,non-woody
Ficus,dendrocida,,,woody
Ocotea,dendrodaphne,,,woody
Ocotea,dendrodaphne,,,woody
Ocotea,dendrodaphne,,,woody
Ocotea,dendrodaphne,,,woody
Oxytheca,dendroidea,,,non-woody
Indigofera,dendroides,,,semi-woody
Suaeda,dendroides,,,semi-woody
Salsola,dendroides,,,woody
Ageratina,dendroides,,,woody
Euphorbia,dendroides,,,woody
Helichrysum,dendroideum,,,woody
Helichrysum,dendroideum,,,woody
Eucalyptus,dendromorpha,,,woody
Eucalyptus,dendrosheath,,,woody
Trachymene,dendrothrix,,,non-woody
Pleonotoma,dendrotricha,,,woody
Obregonia,denegrii,,,non-woody
Coração,de-negro,,,woody
Melicope,denhamii,,,woody
Melicope,denhamii,,,woody
Melhania,denhamii,,,woody
Uvaria,denhardtiana,,,woody
Egeria,densa,,,non-woody
Egeria,densa,,,non-woody
Groenlandia,densa,,,non-woody
Groenlandia,densa,,,non-woody
Groenlandia,densa,,,non-woody
Oxytropis,densa,,,non-woody
Egeria,densa,,,non-woody
Groenlandia,densa,,,non-woody
Egeria,densa,,,non-woody
Groenlandia,densa,,,non-woody
Carex,densa,,,non-woody
Fimbristylis,densa,,,non-woody
Deyeuxia,densa,,,non-woody
Bulbostylis,densa,,,non-woody
Gigantochloa,densa,,,non-woody
Oxytropis,densa,,,non-woody
Chorizanthe,densa,,,non-woody
Guilleminea,densa,,,non-woody
Brayulinea,densa,,,non-woody
Diospyros,densa,,,woody
Byrsonima,densa,,,woody
Abies,densa,,,woody
Metalasia,densa,,,woody
Pinus,densata,,,woody
Pinus,densata,,,woody
Pinus,densata,,,woody
Erythronium,dens-canis,,,non-woody
Erythronium,dens-canis,,,non-woody
Solanum,densevestitum,,,woody
Crotalaria,densicephala,,,woody
Digomphia,densicoma,,,woody
Verticordia,densiflora,,,woody
Fumaria,densiflora,,,non-woody
Calyptranthes,densiflora,,,woody
Calyptranthes,densiflora,,,woody
Clidemia,densiflora,,,woody
Inga,densiflora,,,woody
Inga,densiflora,,,woody
Licania,densiflora,,,woody
Lithocarpus,densiflora,,,woody
Microglossa,densiflora,,,woody
Pinus,densiflora,,,woody
Verticordia,densiflora,,,woody
Inga,densiflora,,,woody
Inga,densiflora,,,woody
Calyptranthes,densiflora,,,woody
Fumaria,densiflora,,,non-woody
Pinus,densiflora,,,woody
Pinus,densiflora,,,woody
Pinus,densiflora,,,woody
Pinus,densiflora,,,woody
Fumaria,densiflora,,,non-woody
Fumaria,densiflora,,,non-woody
Pinus,densiflora,,,woody
Pinus,densiflora,,,woody
Pinus,densiflora,,,woody
Pinus,densiflora,,,woody
Pinus,densiflora,,,woody
Rhynchosia,densiflora,,,non-woody
Jacquemontia,densiflora,,,woody
Luzula,densiflora,,,non-woody
Agrostis,densiflora,,,non-woody
Calamagrostis,densiflora,,,non-woody
Festuca,densiflora,,,non-woody
Guaduella,densiflora,,,non-woody
Spartina,densiflora,,,non-woody
Silene,densiflora,,,non-woody
Watsonia,densiflora,,,non-woody
Dissotis,densiflora,,,non-woody
Boisduvalia,densiflora,,,non-woody
Castilleja,densiflora,,,non-woody
Fumaria,densiflora,,,non-woody
Lomandra,densiflora,,,non-woody
Kochia,densiflora,,,non-woody
Celmisia,densiflora,,,non-woody
Lawrencia,densiflora,,,non-woody
Diaphananthe,densiflora,,,non-woody
Malesherbia,densiflora,,,non-woody
Deeringia,densiflora,,,semi-woody
agalinis,densiflora,,,non-woody
Pedicularis,densiflora,,,non-woody
Verticordia,densiflora,,,woody
Clidemia,densiflora,,,woody
Spiraea,densiflora,,,woody
Melanochyla,densiflora,,,woody
Ouratea,densiflora,,,woody
Vochysia,densiflora,,,woody
Kalanchoe,densiflora,,,non-woody
Cistanthe,densiflora,,,non-woody
Ruschia,densiflora,,,woody
Licania,densiflora,,,woody
Parashorea,densiflora,,,woody
Inga,densiflora,,,woody
Cryptocarya,densiflora,,,woody
Bastardiopsis,densiflora,,,woody
Calyptranthes,densiflora,,,woody
Heritiera,densiflora,,,woody
Eugenia,densiflora,,,woody
Remijia,densiflora,,,woody
Pinus,densiflora,,,woody
Lithocarpus,densiflora,,,woody
Sympetalandra,densiflora,,,woody
Microglossa,densiflora,,,woody
Asteropeia,densiflora,,,woody
Lepidium,densiflorum,,,non-woody
Verbascum,densiflorum,,,non-woody
Verbascum,densiflorum,,,non-woody
Lepidium,densiflorum,,,non-woody
Lepidium,densiflorum,,,non-woody
Lepidium,densiflorum,,,non-woody
Lepidium,densiflorum,,,non-woody
Lepidium,densiflorum,,,non-woody
Lepidium,densiflorum,,,non-woody
Lepidium,densiflorum,,,non-woody
Macrotyloma,densiflorum,,,non-woody
Dierama,densiflorum,,,non-woody
Verbascum,densiflorum,,,non-woody
Hedychium,densiflorum,,,non-woody
Hieracium,densiflorum,,,non-woody
Taraxacum,densiflorum,,,non-woody
Helichrysum,densiflorum,,,semi-woody
Hypericum,densiflorum,,,woody
Dysoxylum,densiflorum,,,woody
Pachypodium,densiflorum,,,semi-woody
Syzygium,densiflorum,,,woody
Pleurothyrium,densiflorum,,,woody
Erythrophleum,densiflorum,,,woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Rubus,densiflorus,,,woody
Cymbopogon,densiflorus,,,non-woody
Lupinus,densiflorus,,,non-woody
Rumex,densiflorus,,,non-woody
Orthocarpus,densiflorus,,,non-woody
Malacothamnus,densiflorus,,,woody
Lithocarpus,densiflorus,,,woody
Attalea,densiflorus,,,woody
Erica,densifolia,,,woody
Caraipa,densifolia,,,woody
Caraipa,densifolia,,,woody
Caraipa,densifolia,,,woody
Arundinaria,densifolia,,,woody
Cleome,densifolia,,,semi-woody
Calceolaria,densifolia,,,semi-woody
Eremophila,densifolia,,,woody
Babingtonia,densifolia,,,woody
Xylopia,densifolia,,,woody
Caraipa,densifolia,,,woody
Uapaca,densifolia,,,woody
Ficus,densifolia,,,woody
Cryptangium,densifolium,,,non-woody
Eriastrum,densifolium,,,non-woody
Gastrolobium,densifolium,,,woody
Hybanthus,densifolius,,,non-woody
Lasianthus,densifolius,,,woody
Coccoloba,densifrons,,,woody
Coccoloba,densifrons,,,woody
Coccoloba,densifrons,,,woody
Coccoloba,densifrons,,,woody
Heisteria,densifrons,,,woody
Ardisia,densilepidotula,,,woody
Eugenia,densinervia,,,woody
Psychotria,densinervia,,,woody
Castanopsis,densinervia,,,woody
Festuca,densipaniculata,,,non-woody
Lesquerella,densipila,,,non-woody
Loudetia,densispica,,,non-woody
Melaleuca,densispicata,,,woody
Taraxacum,dens-leonis,,,non-woody
Phoradendron,densum,,,woody
Erythroxylum,densum,,,woody
Potamogeton,densus,,,non-woody
Bromus,densus,,,non-woody
Meliosma,dentata,,,woody
Oxalis,dentata,,,non-woody
Lomatia,dentata,,,woody
Valerianella,dentata,,,non-woody
Valerianella,dentata,,,non-woody
Castanea,dentata,,,woody
Clidemia,dentata,,,woody
Clidemia,dentata,,,woody
Cupania,dentata,,,woody
Cupania,dentata,,,woody
Curtisia,dentata,,,woody
Euphorbia,dentata,,,woody
Hibbertia,dentata,,,woody
Hymenanthera,dentata,,,woody
Azara,dentata,,,woody
Cupania,dentata,,,woody
Clidemia,dentata,,,woody
Valerianella,dentata,,,non-woody
Quercus,dentata,,,woody
Castanea,dentata,,,woody
Quercus,dentata,,,woody
Azara,dentata,,,woody
Valerianella,dentata,,,non-woody
Euphorbia,dentata,,,non-woody
Hibbertia,dentata,,,non-woody
Pteris,dentata,,,non-woody
Thelypteris,dentata,,,non-woody
Camelina,dentata,,,non-woody
Cardamine,dentata,,,non-woody
Valerianella,dentata,,,non-woody
Euphorbia,dentata,,,non-woody
Melilotus,dentata,,,non-woody
Camissonia,dentata,,,non-woody
Adonis,dentata,,,non-woody
Brachyscome,dentata,,,non-woody
Sisymbrella,dentata,,,non-woody
Lobelia,dentata,,,non-woody
Gunnera,dentata,,,non-woody
Viguiera,dentata,,,semi-woody
Calceolaria,dentata,,,semi-woody
Athanasia,dentata,,,semi-woody
Brickellia,dentata,,,woody
Lavandula,dentata,,,woody
Azara,dentata,,,woody
Lomatia,dentata,,,woody
Hebenstretia,dentata,,,woody
Clidemia,dentata,,,woody
Pultenaea,dentata,,,woody
Cyrtandra,dentata,,,woody
Salvia,dentata,,,woody
Roridula,dentata,,,woody
Hymenanthera,dentata,,,woody
Rhus,dentata,,,woody
Banksia,dentata,,,woody
Cordia,dentata,,,woody
Curtisia,dentata,,,woody
Castanea,dentata,,,woody
Quercus,dentata,,,woody
Meliosma,dentata,,,woody
Cupania,dentata,,,woody
Ternstroemia,dentata,,,woody
Lindackeria,dentata,,,woody
Pouteria,dentata,,,woody
Ulmus,dentata,,,woody
Cordia,dentata,,,woody
Quercus,dentate,,,woody
Quercus,dentate,,,woody
Quercus,dentate,,,woody
Quercus,dentate,,,woody
Quercus,dentate,,,woody
Dichromochlamys,dentatifolia,,,non-woody
Viburnum,dentatum,,,woody
Viburnum,dentatum,,,woody
Viburnum,dentatum,,,woody
Viburnum,dentatum,,,woody
Viburnum,dentatum,,,woody
Viburnum,dentatum,,,woody
Viburnum,dentatum,,,woody
Viburnum,dentatum,,,woody
Hieracium,dentatum,,,non-woody
Viburnum,dentatum,,,woody
Leionema,dentatum,,,woody
Homalium,dentatum,,,woody
Rumex,dentatus,,,non-woody
Doliocarpus,dentatus,,,woody
Doliocarpus,dentatus,,,woody
Ceanothus,dentatus,,,woody
Doliocarpus,dentatus,,,woody
Doliocarpus,dentatus,,,woody
Ceanothus,dentatus,,,woody
Elaeocarpus,dentatus,,,woody
Elaeocarpus,dentatus,,,woody
Elaeocarpus,dentatus,,,woody
Elaeocarpus,dentatus,,,woody
Elaeocarpus,dentatus,,,woody
Elaeocarpus,dentatus,,,woody
Elaeocarpus,dentatus,,,woody
Doliocarpus,dentatus,,,woody
Elymus,dentatus,,,non-woody
Melilotus,dentatus,,,non-woody
Mimulus,dentatus,,,non-woody
Rumex,dentatus,,,non-woody
Dontostemon,dentatus,,,non-woody
Ceanothus,dentatus,,,woody
Melicytus,dentatus,,,woody
Elaeocarpus,dentatus,,,woody
Pluchea,dentex,,,non-woody
Pluchea,dentex,,,semi-woody
Calotis,dentex,,,semi-woody
Protea,denticulata,,,woody
Alternanthera,denticulata,,,non-woody
Cayaponia,denticulata,,,non-woody
Hakea,denticulata,,,woody
Minuria,denticulata,,,non-woody
Hakea,denticulata,,,woody
Cayaponia,denticulata,,,non-woody
Cuscuta,denticulata,,,non-woody
Davallia,denticulata,,,non-woody
Alternanthera,denticulata,,,non-woody
Minuria,denticulata,,,non-woody
Nemesia,denticulata,,,non-woody
Pleurocarpaea,denticulata,,,semi-woody
Wahlenbergia,denticulata,,,semi-woody
Dissotis,denticulata,,,semi-woody
Erica,denticulata,,,woody
Hakea,denticulata,,,woody
Amelanchier,denticulata,,,woody
Cassinia,denticulata,,,woody
Prostanthera,denticulata,,,woody
Baeckea,denticulata,,,woody
Psychotria,denticulata,,,woody
Cheiridopsis,denticulata,,,non-woody
Macaranga,denticulata,,,woody
Eucalyptus,denticulata,,,woody
Macaranga,denticulata,,,woody
Hypericum,denticulatum,,,non-woody
Hedysarum,denticulatum,,,non-woody
Canarium,denticulatum,,,woody
Acmispon,denticulatus,,,non-woody
Dimorphanthera,denticulifera,,,woody
Dimorphanthera,denticulifera,,,woody
Eragrostis,dentifera,,,non-woody
Festuca,dentiflora,,,non-woody
Ternstroemia,dentisepala,,,woody
Phlomis,dentosa,,,non-woody
Myrica,dentulata,,,woody
Prosopis,denudans,,,woody
Magnolia,denudata,,,woody
Magnolia,denudata,,,woody
Magnolia,denudata,,,woody
Magnolia,denudata,,,woody
Magnolia,denudata,,,woody
Aristida,denudata,,,non-woody
Leersia,denudata,,,non-woody
Fimbristylis,denudata,,,non-woody
Eragrostis,denudata,,,non-woody
Fargesia,denudata,,,woody
Deverra,denudata,,,non-woody
Vernonia,denudata,,,non-woody
Viminaria,denudata,,,woody
Tachigali,denudata,,,woody
Magnolia,denudata,,,woody
Verbascum,denudatum,,,non-woody
Sclerolobium,denudatum,,,woody
Astragalus,denudatus,,,semi-woody
Hibiscus,denudatus,,,woody
Cedrus,deodara,,,woody
Cedrus,deodara,,,woody
Cedrus,deodara,,,woody
Cedrus,deodara,,,woody
Cedrus,deodara,,,woody
Carex,depauperata,,,non-woody
Carex,depauperata,,,non-woody
Tarenna,depauperata,,,woody
Carex,depauperata,,,non-woody
Carex,depauperata,,,non-woody
Fimbristylis,depauperata,,,non-woody
Glyceria,depauperata,,,non-woody
Chusquea,depauperata,,,woody
Osmorhiza,depauperata,,,non-woody
Artemisia,depauperata,,,non-woody
Euphorbia,depauperata,,,non-woody
Scaevola,depauperata,,,non-woody
Tarenna,depauperata,,,woody
Acacia,depauperata,,,woody
Eucalyptus,depauperata,,,woody
Dichanthelium,depauperatum,,,non-woody
Paspalum,depauperatum,,,non-woody
Monechma,depauperatum,,,non-woody
Trifolium,depauperatum,,,non-woody
Zygophyllum,depauperatum,,,semi-woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Myrsine,dependens,,,woody
Chasmanthera,dependens,,,woody
Cymbopogon,dependens,,,non-woody
Scutellaria,dependens,,,non-woody
Maesa,dependens,,,woody
