genus,species,subspecies,variant,span
Erodium,botrys,,,annual/biennial
Verbesina,encelioides,,,annual
Chilopsis,linearis,,,perennial
Pentarhopalopilia,madagascariensis,,,perennial
Pentarhopalopilia,perrieri,,,perennial
Jarilla,heterophylla,,,perennial
Alnus,viridis,,,perennial
Alnus,viridis,,,perennial
Tripodanthus,flagellaris,,,perennial
Silene,involucrata,,,perennial
Passovia,podoptera,,,perennial
Morella,californica,,,perennial
Lasianthus,chinensis,,,perennial
Pinus,clausa,,,perennial
Schoenoplectus,heterochaetus,,,perennial
Euphorbia,taihsiensis,,,perennial
Trilepidea,adamsii,,,perennial
Agelanthus,scassellatii,,,perennial
Ximenia,intermedia,,,perennial
Antidaphne,punctulata,,,perennial
Korthalsella,taenioides,,,perennial
Fallugia,paradoxa,,,perennial
Eucephalus,engelmannii,,,perennial
Elatostema,integrifolium,,,perennial
Gentiana,ornata,,,perennial
Gentiana,pedicellata,,,annual
Cirsium,verutum,,,perennial
Cupressocyparis,leylandii,,,perennial
Decaisnina,amplexicaulis,,,perennial
Dendromyza,cucullata,,,perennial
Agelanthus,dichrous,,,perennial
Amyema,hexameres,,,perennial
Agelanthus,igneus,,,perennial
Dendromyza,intricata,,,perennial
Amyema,longipes,,,perennial
Plicosepalus,meridianus,,,perennial
Decaisnina,micranthes,,,perennial
Englerina,oedostemon,,,perennial
Dendromyza,pachydisca,,,perennial
Cyne,papuana,,,perennial
Decaisnina,parvifolia,,,perennial
Decaisnina,pedicellata,,,perennial
Cyne,perfoliata,,,perennial
Amyema,tetrapetala,,,perennial
Dendrophthoe,timorana,,,perennial
Rumex,triangulivalvis,,,perennial
Tapinanthus,belvisii,,,perennial
Phoradendron,berteroanum,,,perennial
Phoradendron,brachystachyum,,,perennial
Psittacanthus,calyculatus,,,perennial
Taxillus,chinensis,,,perennial
Globimetula,cupulata,,,perennial
Dendrophthora,cupulata,,,perennial
Agelanthus,dodonaeifolius,,,perennial
Cicuta,douglasii,,,perennial
Mammillaria,flavescens,,,perennial
Tabebuia,heterophylla,,,perennial
Phoradendron,hexastichum,,,perennial
Taxillus,kaempferi,,,perennial
Olax,madagascariensis,,,perennial
Phoradendron,mucronatum,,,perennial
Arceuthobium,oxycedri,,,perennial
Tapinanthus,pentagonia,,,perennial
Echinocereus,pentalophus,,,perennial
Dendropemon,portoricensis,,,perennial
Gaertnera,psychotrioides,,,perennial
Helixanthera,pulchra,,,perennial
Frangula,purshiana,,,perennial
Agonandra,racemosa,,,perennial
Phragmanthera,rufescens,,,perennial
Struthanthus,spirostylis,,,perennial
Olax,thouarsii,,,perennial
Lespedeza,thunbergii,,,perennial
Larrea,tridentata,,,perennial
Phoradendron,tunaeforme,,,perennial
Gaertnera,vaginans,,,perennial
Phoradendron,velutinum,,,perennial
Gaertnera,bieleri,,,perennial
Phragmanthera,brieyi,,,perennial
Globimetula,mayombensis,,,perennial
Agelanthus,pungu,,,perennial
Phragmanthera,seretii,,,perennial
Helixanthera,subalata,,,perennial
Englerina,subquadrangularis,,,perennial
Liriope,muscari,,,perennial
Ximenia,glauca,,,perennial
Psittacanthus,brasiliensis,,,perennial
Scurrula,buddleioides,,,perennial
Bakerella,clavata,,,perennial
SIlene,coronaria,,,perennial
Tristerix,longebracteatus,,,perennial
Struthanthus,marginatus,,,perennial
Dichanthelium,aciculare,,,perennial
Dendropemon,laxiflorus,,,perennial
Helicanthes,elasticus,,,perennial
Phragmanthera,cornetii,,,perennial
Phragmanthera,polycrypta,,,perennial
Taxillus,caloreas,,,perennial
Psittacanthus,zonatus,,,perennial
Krameria,lappacea,,,perennial
Solanum,capsiciforme,,,perennial
Abies,amabilis,,,perennial
Erysimum,capitatum,,capitatum,biennial/perennial
Chrysolepis,chrysophylla,,chrysophylla,perennial
Prunus,emarginata,,,perennial
Abies,grandis,,,perennial
Iliamna,rivularis,,,perennial
Sphaeralcea,munroana,,,perennial
Pholisma,culiacanum,,,perennial
Larix,laricina,,,perennial
Fragaria,moschata,,,perennial
Cladrastis,kentukea,,,perennial
Solanum,chilense,,,perennial
Psittacanthus,amazonicus,,,perennial
Dendrophthora,densifrons,,,perennial
Bouteloua,karwinskii,,,perennial
Psittacanthus,kerberi,,,perennial
Septulina,ovalis,,,perennial
Agelanthus,prunifolius,,,perennial
Thalictrum,texanum,,,perennial
Plicosepalus,undulatus,,,perennial
Helixanthera,tetrapartita,,,perennial
Bouteloua,media,,,perennial
Bouteloua,parryi,,,annual/perennial
Bouteloua,radicosa,,,perennial
Mammillaria,phitauiana,,,perennial
Erianthemum,dregei,,,perennial
Scurrula,elata,,,perennial
Silene,nigrescens,,,perennial
Luzula,parviflora,,,perennial
Struthanthus,adenostemon,,,perennial
Cladocolea,alternifolia,,,perennial
Dendrophthora,corynarthron,,,perennial
Dendrophthora,fendleriana,,,perennial
Cladocolea,micrantha,,,perennial
Oryctina,myrsinites,,,perennial
Passovia,pycnostachya,,,perennial
Passovia,santaremensis,,,perennial
Antidaphne,schottii,,,perennial
Passovia,stenophylla,,,perennial
Passovia,theloneura,,,perennial
Dendrophthora,warmingii,,,perennial
Eleocharis,equisetoides,,,perennial
Paspalum,fluitans,,,annual
Dichanthelium,ovale,,,perennial
Dichanthelium,scabriusculum,,,perennial
Amyema,apoensis,,,perennial
Amyema,cuernosensis,,,perennial
Amylotheca,miniata,,,perennial
Korthalsella,disticha,,,perennial
Echinocereus,fasciculatus,,,perennial
Croton,lindheimeri,,,annual
Echinocereus,berlandieri,,,perennial
Juncus,brachycephalus,,,perennial
Vitis,cinerea,,,perennial
Yucca,elata,,,perennial
Echinocereus,fendleri,,,perennial
Phoradendron,juniperinum,,,perennial
Juniperus,monosperma,,,perennial
Sagittaria,platyphylla,,,perennial
Echinocereus,rigidissimus,,,perennial
Echinocereus,stramineus,,,perennial
Juncus,subcaudatus,,,perennial
Ferocactus,wislizeni,,,perennial
Tapinanthus,bangwensis,,,perennial
Phragmanthera,baumii,,,perennial
Agelanthus,keilii,,,perennial
Phragmanthera,luteovittata,,,perennial
Tapinanthus,malacophyllus,,,perennial
Actinanthella,menyharthii,,,perennial
Agelanthus,myrsinifolius,,,perennial
Englerina,ochroleuca,,,perennial
Oedina,pendens,,,perennial
Helixanthera,periclymenoides,,,perennial
Tapinanthus,quinquangulus,,,perennial
Globimetula,rubripes,,,perennial
Agelanthus,sambesiacus,,,perennial
Englerina,schubotziana,,,perennial
Agelanthus,terminaliae,,,perennial
Oncella,ambigua,,,perennial
Globimetula,anguliflora,,,perennial
Phragmanthera,batangae,,,perennial
Globimetula,braunii,,,perennial
Agelanthus,brunneus,,,perennial
Tapinanthus,buchneri,,,perennial
Erianthemum,commiphorae,,,perennial
Tapinanthus,constrictiflorus,,,perennial
Phragmanthera,crassicaulis,,,perennial
Oncella,curviramea,,,perennial
Viscum,decurrens,,,perennial
Tapinanthus,dependens,,,perennial
Globimetula,dinklagei,,,perennial
Agelanthus,djurensis,,,perennial
Phragmanthera,dschallensis,,,perennial
Agelanthus,elegantulus,,,perennial
Phragmanthera,eminii,,,perennial
Oedina,erecta,,,perennial
Oncocalyx,fischeri,,,perennial
Agelanthus,fuellebornii,,,perennial
Englerina,gabonensis,,,perennial
Helixanthera,garciana,,,perennial
Oncocalyx,glabratus,,,perennial
Tapinanthus,glaucophyllus,,,perennial
Agelanthus,glaucoviridis,,,perennial
Agelanthus,glomeratus,,,perennial
Dulacia,guianensis,,,perennial
Englerina,heckmanniana,,,perennial
Oliverella,hildebrandtii,,,perennial
Englerina,holstii,,,perennial
Helixanthera,huillensis,,,perennial
Populus,ilicifolia,,,perennial
Englerina,inaequilatera,,,perennial
Agelanthus,irangensis,,,perennial
Englerina,kagehensis,,,perennial
Phragmanthera,kamerunensis,,,perennial
Agelanthus,kayseri,,,perennial
Oncocalyx,kelleri,,,perennial
Agelanthus,krausei,,,perennial
Englerina,kwaiensis,,,perennial
Englerina,lecardii,,,perennial
Englerina,luluensis,,,perennial
Pentarhopalopilia,marquesii,,,perennial
Tapinanthus,mechowii,,,perennial
Agelanthus,molleri,,,perennial
Tapinanthus,mollissimus,,,perennial
Englerina,muerensis,,,perennial
Agelanthus,oehleri,,,perennial
Tapinanthus,ogowensis,,,perennial
Emelianthe,panganensis,,,perennial
Agelanthus,polygonifolius,,,perennial
Tapinanthus,preussii,,,perennial
Phragmanthera,proteicola,,,perennial
Spragueanella,rhamnifolia,,,perennial
Agelanthus,rondensis,,,perennial
Tapinanthus,rubromarginatus,,,perennial
Plicosepalus,sagittifolius,,,perennial
Agelanthus,sakarensis,,,perennial
Agelanthus,sansibarensis,,,perennial
Erianthemum,schelei,,,perennial
Englerina,schlechteri,,,perennial
Agelanthus,schweinfurthii,,,perennial
Urobotrya,sparsiflora,,,perennial
Agelanthus,subulatus,,,perennial
Oncocalyx,sulfureus,,,perennial
Erianthemum,taborense,,,perennial
Agelanthus,tanganyikae,,,perennial
Oncocalyx,ugogensis,,,perennial
Agelanthus,uhehensis,,,perennial
Agelanthus,villosiflorus,,,perennial
Asparagus,warneckei,,,perennial
Oncocalyx,welwitschii,,,perennial
Agelanthus,zizyphifolius,,,perennial
Heisteria,blanchetiana,,,perennial
Lepechinia,mollis,,,perennial
Frangula,californica,californica,,perennial
Amylotheca,dictyophleba,,,perennial
Exocarpos,syrticolus,,,perennial
Silene,kialensis,,,perennial
Silene,lhassana,,,perennial
Asparagus,trichoclados,,,perennial
Bouteloua,hirsuta,pectinata,,perennial
Argemone,polyanthemos,,,"annual, biennial/perennial"
Carex,leptonervia,,,perennial
Lepechinia,nelsonii,,,perennial
Thalictrum,glandulosissimum,,,perennial
Agropyron,desertorum,,,perennial
Silene,songarica,,,perennial
Psathyrostachys,juncea,,,perennial
Dichanthium,annulatum,,,perennial
Urochloa,mutica,,,perennial
Pennisetum,setaceum,,,perennial
Cytinus,ruber,,,perennial
Boehmeria,platanifolia,,,perennial
Silene,davidii,,,perennial
Cirsium,fargesii,,,perennial
Cirsium,henryi,,,perennial
Thalictrum,leve,,,perennial
Fragaria,moupinensis,,,perennial
Plicosepalus,nummulariifolius,,,perennial
Cirsium,souliei,,,perennial
Potentilla,stenophylla,,,perennial
Tupeia,antartica,,,perennial
Oryctina,badilloi,,,perennial
Gentiana,loureiroi,,,perennial
Gentiana,thunbergii,,,annual
Gentiana,tubiflora,,,perennial
Urobotrya,latisquama,,,perennial
Macrosolen,robinsonii,,,perennial
Pilostyles,blanchetii,,,perennial
Pilostyles,calliandrae,,,perennial
Dendrophthora,elliptica,,,perennial
Phoradendron,nitidum,,,perennial
Begonia,salaziensis,,,perennial
Eragrostis,variabilis,,,perennial
Phoradendron,liga,,,perennial
