genus,species,subspecies,variant,span
Verbena,bracteata,,,annual/biennial
Bracteantha,bracteata,,,perennial
baptisia,bracteata,,,perennial
Helichrysum,bracteatum,,,perennial
Taraxacum,bracteatum,,,perennial
Xeranthemum,bracteatum,,,annual
Macroptilium,bracteatum,,,perennial
Bulbophyllum,bracteatum,,,perennial
Xerochrysum,bracteatum,,,annual/perennial
Aeschynanthus,bracteatus,,,perennial
Tephrosia,bracteolata,,,annual
Barbarea,bracteosa,,,biennial/perennial
Pouzolzia,bracteosa,,,annual
Pedicularis,bracteosa,,,perennial
Orthocarpus,bracteosus,,,annual
Taraxacum,brakelii,,,perennial
Ruellia,brandbergensis,,,perennial
Aloe,branddraaiensis,,,perennial
Taraxacum,brandenburgicum,,,perennial
Xanthium,brasilicum,,,annual
Canavalia,brasiliensis,,,perennial
Hevea,brasiliensis,,,perennial
Polystachya,brassii,,,perennial
Potentilla,brauneana,,,perennial
Potentilla,brauneana,,,perennial
Polystichum,braunii,,,perennial
Polystichum,braunii,,,perennial
Cirsium,braunii,,,biennial/perennial
Dactylorhiza,braunii,,,perennial
Flindersia,brayleyana,,,perennial
Gilia,brecciarum,,,annual
Crotalaria,bredoi,,,annual
Utricularia,bremii,,,perennial
Eulophia,brenanii,,,perennial
Cornus,bretschneideri,,,perennial
Satyrium,breve,,,perennial
Cynorkis,brevicalcar,,,perennial
Pharnaceum,brevicaule,,,annual
Biscutella,brevicaulis,,,perennial
Iris,brevicaulis,,,perennial
Ixiolaena,brevicompta,,,biennial/perennial
Monadenia,brevicornis,,,perennial
Corchorus,brevicornutus,,,annual
Carex,breviculmis,,,perennial
Crotalaria,brevidens,,,annual
Jasminum,breviflorum,,,perennial
Taraxacum,breviflorum,,,perennial
Scleropogon,brevifolius,,,perennial
Prasophyllum,brevilabre,,,perennial
Disperis,breviloba,,,perennial
Rhamphicarpa,brevipedicellata,,,annual
Camissonia,brevipes,,,annual
Eriospermum,brevipes,,,perennial
Eupatorium,brevipes,,,perennial
Laggera,brevipes,,,annual
Hyptis,brevipes,,,annual
Festuca,brevipila,,,perennial
Festuca,brevipila,,,perennial
Platycoryne,brevirostris,,,perennial
Lomandra,brevis,,,perennial
Renealmia,breviscapa,,,perennial
Taraxacum,brevisectoides,,,perennial
Salix,breviserrata,,,perennial
Calotis,breviseta,,,perennial
Diuris,brevissima,,,perennial
Psilocarphus,brevissimus,,,annual
Ornithogalum,brevistylum,,,perennial
Hordeum,brevisubulatum,,,perennial
Clarkia,breweri,,,annual
Mitella,breweri,,,perennial
Atriplex,breweri,,,perennial
Ranunculus,breyninus,,,perennial
Ranunculus,breyninus,,,perennial
Sphenostylis,briartii,,,perennial
Eucephalus,brickellioides,,,perennial
Alocasia,brisbanensis,,,perennial
Inula,britannica,,,perennial
Inula,britannica,,,perennial
Inula,britannica,,,biennial/perennial
Inula,britannica,,,biennial
Hieracium,britanniciforme,,,perennial
Hieracium,britannicoides,,,perennial
Hieracium,britannicum,,,perennial
Taraxacum,britannicum,,,perennial
Persicaria,brittingeri,,,annual
Brachiaria,brizantha,,,perennial
Brachiaria,brizantha,,,perennial
Carex,brizoides,,,perennial
Carex,brizoides,,,perennial
Carex,brizoides,,,perennial
Dasypogon,bromeliifolius,,,perennial
Avenula,bromoides,,,perennial
Vulpia,bromoides,,,annual
Avenula,bromoides,,,annual
Avenula,bromoides,,,annual
Avenula,bromoides,,,perennial
Stipa,bromoides,,,perennial
Vulpia,bromoides,,,annual
Avenula,bromoides,,,perennial
Stipa,bromoides,,,perennial
Vulpia,bromoides,,,annual
Vulpia,bromoides,,,annual
Vulpia,bromoides,,,annual
Aloe,broomii,,,perennial
Aristida,browniana,,,biennial/perennial
Jacquemontia,browniana,,,perennial
Digitaria,brownii,,,perennial
Eragrostis,brownii,,,perennial
Rumex,brownii,,,perennial
Desmodium,brownii,,,annual
Haloragis,brownii,,,perennial
Typhonium,brownii,,,perennial
Flaveria,brownii,,,perennial
Vernonia,bruceana,,,perennial
Cyphia,brummittii,,,perennial
Carex,brunnescens,,,perennial
Saxifraga,bryoides,,,perennial
Saxifraga,bryoides,,,perennial
Saxifraga,bryoides,,,perennial
Tillandsia,bryoides,,,perennial
Dioscorea,bryoniaefolia,,,perennial
Rumex,bucephalophorus,,,annual
Stanhopea,bucephalus,,,perennial
Platycoryne,buchananiana,,,perennial
Cyphostemma,buchananii,,,perennial
Diplolophium,buchananii,,,perennial
Brachycorythis,buchananii,,,perennial
Cynorkis,buchananii,,,perennial
Holothrix,buchananii,,,perennial
Satyrium,buchananii,,,perennial
Tylecodon,buchholzianus,,,perennial
Aeollanthus,buchnerianus,,,perennial
Carex,buekii,,,perennial
Aloe,buettneri,,,perennial
Juncus,bufonius,,,annual
Juncus,bufonius,,,annual
Juncus,bufonius,,,annual
Dentaria,bulbifera,,,perennial
Cardamine,bulbifera,,,perennial
Saxifraga,bulbifera,,,perennial
Cardamine,bulbifera,,,perennial
Dioscorea,bulbifera,,,perennial
Laportea,bulbifera,,,perennial
Lilium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Asplenium,bulbiferum,,,perennial
Lilium,bulbiferum,,,perennial
Bunium,bulbocastanum,,,perennial
Bunium,bulbocastanum,,,perennial
Bunium,bulbocastanum,,,perennial
Pleione,bulbocodioides,,,perennial
Poa,bulbosa,,,perennial
Bulbine,bulbosa,,,perennial
Poa,bulbosa,,,perennial
Aetheorhiza,bulbosa,,,perennial
Poa,bulbosa,,,perennial
Crepis,bulbosa,,,perennial
Arethusa,bulbosa,,,perennial
Calypso,bulbosa,,,perennial
Cyphia,bulbosa,,,perennial
Othonna,bulbosa,,,perennial
Chaerophyllum,bulbosum,,,biennial/perennial
Symphytum,bulbosum,,,perennial
Chaerophyllum,bulbosum,,,biannual/perennial
Hordeum,bulbosum,,,perennial
Symphytum,bulbosum,,,perennial
Ranunculus,bulbosus,,,perennial
Alopecurus,bulbosus,,,perennial
Juncus,bulbosus,,,perennial
Ranunculus,bulbosus,,,perennial
Ranunculus,bulbosus,,,perennial
Ranunculus,bulbosus,,,perennial
Ranunculus,bulbosus,,,perennial
Alopecurus,bulbosus,,,perennial
Juncus,bulbosus,,,perennial
Ranunculus,bulbosus,,,perennial
Ranunculus,bulbosus,,,perennial
Geum,bulgaricum,,,perennial
Stachys,bullata,,,perennial
Cotoneaster,bullatus,,,perennial
Stipa,bungeana,,,perennial
Pulsatilla,bungeana,,,perennial
Onobrychis,bungei,,,perennial
Onobrychis,bungei,,,perennial
Fortuynia,bungei,,,perennial
Tragopogon,buphthalmoides,,,biennial
Eupatorium,bupleurifolium,,,perennial
Hieracium,bupleuroides,,,perennial
Hieracium,bupleuroides,,,perennial
Otoptera,burchellii,,,perennial
Eucalyptus,burgessiana,,,perennial
Crotalaria,burkeana,,,perennial
Delphinium,burkei,,,perennial
Acacia,burkittii,,,perennial
Aconitum,burnatii,,,perennial
Erysimum,burnatii,,,perennial
Rhinanthus,burnatii,,,annual
Erysimum,burnatii,,,perennial
Thelesperma,burridgeanum,,,annual
Capsella,bursapastoris,,,annual
Capsella,bursa-pastoris,,,annual
Capsella,bursa-pastoris,,,annual/biennial
Capsella,bursa-pastoris,,,annual
Capsella,bursa-pastoris,,,annual/biennial
Capsella,bursa-pastoris,,,annual
Capsella,bursa-pastoris,,,annual/biannual
Gentiana,burseri,,,perennial
Saxifraga,burseriana,,,perennial
Saxifraga,burseriana,,,perennial
Crepis,bursifolia,,,perennial
Chenopodium,bushianum,,,annual
Galium,bussei,,,perennial
Carex,buxbaumii,,,perennial
Carex,buxbaumii,,,perennial
Teucrium,buxifolium,,,perennial
Isopogon,buxifolius,,,perennial
Stachys,byzantina,,,perennial
Stachys,byzantina,,,perennial
Colchicum,byzantinum,,,perennial
Senecio,cacaliaster,,,perennial
Theobroma,cacao,,,perennial
Oxytropis,cachemiriana,,,perennial
Calandrinia,cachinalensis,,,annual
Cissus,cactiformis,,,perennial
Taraxacum,cacuminatum,,,perennial
Hieracium,cacuminum,,,perennial
Paracaryum,caelestinum,,,perennial
Arabis,caerulea,,,perennial
Lonicera,caerulea,,,perennial
Molinia,caerulea,,,perennial
Trigonella,caerulea,,,annual
Molinia,caerulea,,,perennial
Arabis,caerulea,,,annual
Molinia,caerulea,,,perennial
Molinia,caerulea,,,perennial
Arabis,caerulea,,,annual
Alpinia,caerulea,,,perennial
Dianella,caerulea,,,perennial
Dianella,caerulea,,,perennial
Dianella,caerulea,,,perennial
Dianella,caerulea,,,perennial
Trigonella,caerulea,,,annual
Arabis,caerulea,,,perennial
Catananche,caerulea,,,perennial
Molinia,caerulea,,,perennial
Sesleria,caerulea,,,perennial
Sesleria,caerulea,,,perennial
Catananche,caerulea,,,perennial
Molinia,caerulea,,,perennial
Molinia,caerulea,,,perennial
Dianella,caerulea,,,perennial
Alpinia,caerulea,,,perennial
Caladenia,caerulea,,,perennial
Otiophora,caerulea,,,perennial
Thlaspi,caerulescens,,,biennial/perennial
Thlaspi,caerulescens,,,biennial/perennial
Piptatherum,caerulescens,,,perennial
Artemisia,caerulescens,,,perennial
Orobanche,caerulescens,,,perennial
Polemonium,caeruleum,,,perennial
Delphinium,caeruleum,,,perennial
Polemonium,caeruleum,,,perennial
Xiphidium,caeruleum,,,perennial
Haumaniastrum,caeruleum,,,perennial
Rosa,caesia,,,perennial
Saxifraga,caesia,,,perennial
Saxifraga,caesia,,,perennial
Rosa,caesia,,,perennial
Hieracium,caesiomurorum,,,perennial
Hieracium,caesium,,,perennial
Hieracium,caesium,,,perennial
Hieracium,caesium,,,perennial
Rubus,caesius,,,perennial
Polystachya,caespitifica,,,perennial
Deschampsia,caespitosa,,,perennial
Danthonia,caespitosa,,,perennial
Danthonia,caespitosa,,,perennial
Danthonia,caespitosa,,,perennial
Deschampsia,caespitosa,,,perennial
Elegia,caespitosa,,,perennial
Marshallia,caespitosa,,,perennial
Kohautia,caespitosa,,,perennial
Hypertelis,caespitosa,,,perennial
Liparis,caespitosa,,,perennial
Oenothera,caespitosa,,,perennial
Hieracium,caespitosum,,,perennial
Trichophorum,caespitosum,,,perennial
Pappophorum,caespitosum,,,perennial
Hieracium,caespitosum,,,perennial
Hieracium,caespitosum,,,perennial
Eriogonum,caespitosum,,,perennial
Thelionema,caespitosum,,,perennial
Geranium,caespitosum,,,perennial
Brachyclados,caespitosus,,,perennial
Didymodoxa,caffra,,,annual
Disa,caffra,,,perennial
Pulsatilla,caffra,,,perennial
Stachys,caffra,,,perennial
Talinum,caffrum,,,perennial
Desmodium,cajanifolium,,,perennial
Ursinia,cakilefolia,,,annual
Achnatherum,calamagrostis,,,perennial
Achnatherum,calamagrostis,,,perennial
Thlaspi,calaminare,,,biennial/perennial
Viola,calaminaria,,,perennial
Satureja,calamintha,,,perennial
Acorus,calamus,,,perennial
Acorus,calamus,,,perennial
Acorus,calamus,,,perennial
Eulophia,calantha,,,perennial
Viola,calcarata,,,perennial
Sclerolaena,calcarata,,,perennial
Schizochilus,calcaratus,,,perennial
Polygala,calcarea,,,perennial
Polygala,calcarea,,,perennial
Sempervivum,calcareum,,,perennial
Hybanthus,calceolaria,,,perennial
Cypripedium,calceolus,,,perennial
Cypripedium,calceolus,,,perennial
Cypripedium,calceolus,,,perennial
Angraecum,calceolus,,,perennial
Centaurea,calcitrapa,,,biennial
Centaurea,calcitrapa,,,biennial
Centranthus,calcitrapae,,,annual
Triglochin,calcitrapum,,,annual
Gnaphalium,calciveps,,,annual
Hieracium,caledonicum,,,perennial
Arctotheca,calendula,,,annual
Arctotheca,calendula,,,perennial
Osteospermum,calendulaceum,,,annual
Ursinia,calenduliflora,,,annual
Hieracium,calenduliflorum,,,perennial
Eschscholzia,californica,,,annual/perennial
Atriplex,californica,,,perennial
Vitis,californica,,,perennial
Brodiaea,californica,,,perennial
Brickellia,californica,,,perennial
Coreopsis,californica,,,annual
Filago,californica,,,annual
Malacothrix,californica,,,annual
Romanzoffia,californica,,,perennial
Valeriana,californica,,,perennial
Meconella,californica,,,annual
Fragaria,californica,,,perennial
Scrophularia,californica,,,perennial
Atriplex,californica,,,perennial
Biscutella,californica,,,annual
Kochia,californica,,,perennial
Gutierrezia,californica,,,perennial
Justicia,californica,,,perennial
Rosa,californica,,,perennial
Chenopodium,californicum,,,perennial
Lithospermum,californicum,,,perennial
Geranium,californicum,,,perennial
Erythronium,californicum,,,perennial
Limonium,californicum,,,perennial
Galium,californicum,,,perennial
Lythrum,californicum,,,perennial
Phoradendron,californicum,,,perennial
Micropus,californicus,,,annual
Hibiscus,californicus,,,perennial
Caesia,calliantha,,,perennial
Trigonella,calliceras,,,annual
Eulophia,callichroma,,,perennial
Coreopsis,calliopsidea,,,annual
Saxifraga,callosa,,,perennial
Palafoxia,callosa,,,annual
Polystachya,calluniflora,,,perennial
Taraxacum,calochroum,,,perennial
Hieracium,calocymum,,,perennial
Hieracium,calodon,,,perennial
Roucheria,calophylla,,,perennial
Taraxacum,caloschistoides,,,perennial
Taraxacum,caloschistum,,,perennial
Atriplex,calotheca,,,annual
Festuca,calva,,,perennial
Tithonia,calva,,,perennial
Miconia,calvescens,,,perennial
Habenaria,calvilabris,,,perennial
Vernonia,calvoana,,,perennial
Hieracium,calvum,,,perennial
Corispermum,calvum,,,annual
Cichorium,calvum,,,perennial
Polymeria,calycina,,,perennial
Lotononis,calycina,,,perennial
Misopates,calycinum,,,annual
Hypericum,calycinum,,,perennial
Drosanthemum,calycinum,,,perennial
Sidalcea,calycosa,,,annual/perennial
Tofieldia,calyculata,,,perennial
Tofieldia,calyculata,,,perennial
Tofieldia,calyculata,,,perennial
Chamaedaphne,calyculata,,,perennial
Calandrinia,calyptrata,,,annual
Eucalyptus,camaldulensis,,,perennial
Eucalyptus,camaldulensis,,,perennial
Acacia,cambagei,,,perennial
Paeonia,cambessedesii,,,perennial
Polypodium,cambricum,,,perennial
Hieracium,cambricum,,,perennial
Taraxacum,camensis,,,perennial
Aloe,cameronii,,,perennial
Aconitum,cammarum,,,perennial
Calceolaria,campanae,,,perennial
Pulsatilla,campanella,,,perennial
Pilocosta,campanensis,,,perennial
Clematis,campaniflora,,,perennial
Silene,campanula,,,perennial
Gilia,campanulata,,,annual
Aconogonon,campanulatum,,,perennial
Linum,campanulatum,,,perennial
Linum,campanulatum,,,annual
Aconogonon,campanulatum,,,perennial
Ocimum,campechianum,,,annual
Eryngium,campestre,,,perennial
Acer,campestre,,,perennial
Acer,campestre,,,perennial
Eryngium,campestre,,,perennial
Lepidium,campestre,,,annual/biennial
Trifolium,campestre,,,annual
Eryngium,campestre,,,perennial
Eryngium,campestre,,,perennial
Lepidium,campestre,,,annual/biennial
Trifolium,campestre,,,annual/biennial
Trifolium,campestre,,,annual
Eryngium,campestre,,,perennial
Eryngium,campestre,,,perennial
Trifolium,campestre,,,annual
Trifolium,campestre,,,annual
Acer,campestre,,,perennial
Luzula,campestris,,,perennial
Artemisia,campestris,,,perennial
Cuscuta,campestris,,,annual
Gentianella,campestris,,,biennial
Luzula,campestris,,,perennial
Luzula,campestris,,,perennial
Luzula,campestris,,,perennial
Cuscuta,campestris,,,annual
Ferulago,campestris,,,perennial
Luzula,campestris,,,perennial
Elytrigia,campestris,,,perennial
Luzula,campestris,,,perennial
Artemisia,campestris,,,perennial
Microseris,campestris,,,annual
Oxytropis,campestris,,,perennial
Calochilus,campestris,,,perennial
Jatropha,campestris,,,perennial
Cuscuta,campestris,,,annual
Tanacetum,camphoratum,,,perennial
Taraxacum,campoduniense,,,perennial
Grindelia,camporum,,,perennial
Chrysopsis,camporum,,,perennial
Polystachya,campyloglossa,,,perennial
Spiraea,cana,,,perennial
Packera,cana,,,perennial
Calceolaria,cana,,,perennial
Desmodium,canadense,,,perennial
Allium,canadense,,,perennial
Maianthemum,canadense,,,perennial
Hydrophyllum,canadense,,,perennial
Geum,canadense,,,perennial
Hieracium,canadense,,,perennial
Conyza,canadensis,,,annual
Elodea,canadensis,,,perennial
Conyza,canadensis,,,annual
Solidago,canadensis,,,perennial
Elymus,canadensis,,,perennial
Sanguinaria,canadensis,,,perennial
Solidago,canadensis,,,perennial
Calamagrostis,canadensis,,,perennial
Conyza,canadensis,,,annual
Solidago,canadensis,,,perennial
Elymus,canadensis,,,perennial
Conyza,canadensis,,,annual/biennial
Elodea,canadensis,,,perennial
Solidago,canadensis,,,perennial
Conyza,canadensis,,,annual
Conyza,canadensis,,,annual
Solidago,canadensis,,,perennial
Calamagrostis,canadensis,,,perennial
Elymus,canadensis,,,perennial
Glyceria,canadensis,,,perennial
Cornus,canadensis,,,perennial
Astragalus,canadensis,,,perennial
Sanguinaria,canadensis,,,perennial
Aquilegia,canadensis,,,perennial
Laportea,canadensis,,,annual/perennial
Circaea,canadensis,,,perennial
Pedicularis,canadensis,,,perennial
Cercis,canadensis,,,perennial
Tsuga,canadensis,,,perennial
Cymbidium,canaliculatum,,,perennial
Polygonatum,canaliculatum,,,perennial
Cymbidium,canaliculatum,,,perennial
Hypericum,canariense,,,perennial
Phalaris,canariensis,,,annual
Phalaris,canariensis,,,annual
Hedera,canariensis,,,perennial
Canarina,canariensis,,,perennial
Cedronella,canariensis,,,perennial
Pinus,canariensis,,,perennial
Atractylis,cancellata,,,annual
Pavonia,cancellata,,,perennial
Astragalus,candensis,,,perennial
Forsskaolea,candida,,,perennial
Dalea,candida,,,perennial
Lilium,candidum,,,perennial
Petalostemon,candidum,,,perennial
Petalostemum,candidum,,,perennial
Coffea,canephora,,,perennial
Calamagrostis,canescens,,,perennial
Carex,canescens,,,perennial
Corynephorus,canescens,,,perennial
Scabiosa,canescens,,,perennial
Podolepis,canescens,,,annual
Corynephorus,canescens,,,annual
Geraea,canescens,,,perennial
Culcitium,canescens,,,perennial
Carex,canescens,,,perennial
Corynephorus,canescens,,,perennial
Rubus,canescens,,,perennial
Calamagrostis,canescens,,,perennial
Corynephorus,canescens,,,perennial
Podolepis,canescens,,,annual
Corynephorus,canescens,,,perennial
Nelsonia,canescens,,,annual
Geraea,canescens,,,annual
Podolepis,canescens,,,annual
Swainsona,canescens,,,perennial
Lallemantia,canescens,,,perennial
Hieracium,canescens,,,perennial
Saussurea,canescens,,,perennial
Blennodia,canescens,,,annual
Morettia,canescens,,,perennial
Asyneuma,canescens,,,perennial
Syncolostemon,canescens,,,perennial
Hemizygia,canescens,,,perennial
Chamaerhodos,canescens,,,perennial
heterotheca,canescens,,,perennial
Berkheya,canescens,,,perennial
Agrostis,canina,,,perennial
Rosa,canina,,,perennial
Agrostis,canina,,,perennial
Agrostis,canina,,,perennial
Roegneria,canina,,,perennial
Rosa,canina,,,perennial
Scrophularia,canina,,,perennial
Viola,canina,,,perennial
Viola,canina,,,perennial
Agrostis,canina,,,perennial
Scrophularia,canina,,,perennial
Roegneria,canina,,,perennial
Agrostis,canina,,,perennial
Viola,canina,,,perennial
Rosa,canina,,,perennial
Agrostis,canina,,,perennial
Elymus,caninus,,,perennial
Senecio,cannabifolius,,,perennial
Althaea,cannabina,,,perennial
Datisca,cannabina,,,perennial
Urtica,cannabina,,,perennial
Eupatorium,cannabinum,,,perennial
Eupatorium,cannabinum,,,perennial
Eupatorium,cannabinum,,,perennial
Apocynum,cannabinum,,,perennial
Eupatorium,cannabinum,,,perennial
Eupatorium,cannabinum,,,perennial
Eupatorium,cannabinum,,,perennial
Apocynum,cannabinum,,,perennial
Oenothera,canovirens,,,annual/biennial
Taraxacum,canoviride,,,perennial
Convolvulus,cantabrica,,,perennial
Convolvulus,cantabrica,,,perennial
Lewisia,cantelovii,,,perennial
Dilochia,cantleyi,,,perennial
Salomonia,cantoniensis,,,annual
Cirsium,canum,,,perennial
Helianthemum,canum,,,perennial
Cirsium,canum,,,perennial
Cirsium,canum,,,perennial
Galium,canum,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Blechnum,capense,,,perennial
Hordeum,capense,,,perennial
Impatiens,capensis,,,annual
Impatiens,capensis,,,annual
Stipa,capensis,,,perennial
Limosella,capensis,,,annual
Dalechampia,capensis,,,perennial
Elegia,capensis,,,perennial
Rhodocoma,capensis,,,perennial
Tulbaghia,capensis,,,perennial
Valeriana,capensis,,,perennial
Wurmbea,capensis,,,perennial
Rotala,capensis,,,annual
Pulsatilla,capensis,,,perennial
Vahlia,capensis,,,annual/perennial
Minuartia,capillacea,,,perennial
Panicum,capillare,,,annual
Panicum,capillare,,,annual
Panicum,capillare,,,annual
Panicum,capillare,,,annual
Panicum,capillare,,,annual
Agrostis,capillaris,,,perennial
Crepis,capillaris,,,perennial
Agrostis,capillaris,,,perennial
Carex,capillaris,,,perennial
Crepis,capillaris,,,annual
Puccinellia,capillaris,,,perennial
Agrostis,capillaris,,,perennial
Agrostis,capillaris,,,perennial
Agrostis,capillaris,,,perennial
Podolepis,capillaris,,,perennial
Agrostis,capillaris,,,perennial
Agrostis,capillaris,,,perennial
Carex,capillaris,,,perennial
Crepis,capillaris,,,annual/biennial
Agrostis,capillaris,,,perennial
Crepis,capillaris,,,annual
Agrostis,capillaris,,,perennial
Crepis,capillaris,,,annual/biannual
Tillandsia,capillaris,,,perennial
Agrostis,capillaris,,,perennial
Nemacladus,capillaris,,,annual
Arenaria,capillaris,,,perennial
Artemisia,capillaris,,,perennial
Stipa,capillata,,,perennial
Stipa,capillata,,,perennial
Kobresia,capillifolia,,,perennial
Kobresia,capilliformis,,,perennial
Adiantum,capillus-veneris,,,perennial
Ziziphora,capitata,,,annual
Carex,capitata,,,perennial
Lespedeza,capitata,,,perennial
Lespedeza,capitata,,,perennial
Carex,capitata,,,perennial
Carex,capitata,,,perennial
Tephroseris,capitata,,,perennial
Rhynchosia,capitata,,,perennial
Ziziphora,capitata,,,annual
Hyptis,capitata,,,annual/perennial
Stylosanthes,capitata,,,perennial
Lespedeza,capitata,,,perennial
Aloe,capitata,,,perennial
Centaurium,capitatum,,,annual
Chenopodium,capitatum,,,annual
Blitum,capitatum,,,annual
Dichelostemma,capitatum,,,perennial
Hydrophyllum,capitatum,,,perennial
Blitum,capitatum,,,annual
Juncus,capitatus,,,annual
Juncus,capitatus,,,annual
Ancistrorhynchus,capitatus,,,perennial
Tragopogon,capitatus,,,biennial
Kotschya,capitulifera,,,annual
Gypsophila,capituliflora,,,perennial
Gypsophila,capituliflora,,,perennial
Corydalis,capnoides,,,annual
Corydalis,capnoides,,,annual/biennial
Salix,caprea,,,perennial
Salix,caprea,,,perennial
Salix,caprea,,,perennial
Salix,caprea,,,perennial
Fumaria,capreolata,,,annual
Fumaria,capreolata,,,annual
Fumaria,capreolata,,,annual
Lonicera,caprifolium,,,perennial
Parsonsia,capsularis,,,perennial
Parsonsia,capsularis,,,perennial
Corchorus,capsularis,,,annual
Onobrychis,caput-galli,,,annual
Onobrychis,caput-galli,,,perennial
Taeniatherum,caput-medusae,,,annual
Taeniatherum,caput-medusae,,,annual
Taeniatherum,caput-medusae,,,annual
Verbesina,caracasana,,,perennial
Valeriana,cardamines,,,perennial
Pachymitus,cardaminoides,,,annual
Elettaria,cardamomum,,,perennial
Leonurus,cardiaca,,,perennial
Leonurus,cardiaca,,,perennial
Delphinium,cardinale,,,perennial
Ipomoea,cardiophylla,,,annual
Hibiscus,cardiophyllus,,,perennial
Salvia,carduacea,,,perennial
Carduus,carduelis,,,perennial
Onopordon,carduiforme,,,biennial
Rhynchosia,caribaea,,,annual
Heliconia,caribaea,,,perennial
Pinus,caribaea,,,perennial
Ficus,carica,,,perennial
Eulophia,caricifolia,,,perennial
Amphipogon,caricinus,,,perennial
Genista,carinalis,,,perennial
Valerianella,carinata,,,annual
Valerianella,carinata,,,annual
Valerianella,carinata,,,annual
Gasteria,carinata,,,perennial
Allium,carinatum,,,perennial
Allium,carinatum,,,perennial
Bromus,carinatus,,,annual/perennial
Bromus,carinatus,,,annual/perennial
Wulfenia,carinthiaca,,,perennial
Lomatogonium,carinthiacum,,,annual
Lomatogonium,carinthiacum,,,annual
Taraxacum,carinthiacum,,,perennial
Ranunculus,carinthiacus,,,perennial
Ranunculus,carinthiacus,,,perennial
Berkheya,carlinopsis,,,perennial
Erica,carnea,,,perennial
Caladenia,carnea,,,perennial
Caladenia,carnea,,,perennial
Ipomoea,carnea,,,perennial
Caladenia,carnea,,,perennial
Aerangis,carnea,,,perennial
Dactylorhiza,carnea,,,perennial
Thelymitra,carnea,,,perennial
Aloe,carnea,,,perennial
Astrantia,carniolica,,,perennial
Eleocharis,carniolica,,,perennial
Euphorbia,carniolica,,,perennial
Scopolia,carniolica,,,perennial
Cirsium,carniolicum,,,perennial
Lilium,carniolicum,,,perennial
Maireana,carnosa,,,perennial
Layia,carnosa,,,annual
Phylohydrax,carnosa,,,perennial
Laurentia,carnosula,,,annual
Sporobolus,caroli,,,biennial/perennial
Lachnanthes,caroliana,,,perennial
Rosa,carolina,,,perennial
Cabomba,caroliniana,,,perennial
Hymenocallis,caroliniana,,,perennial
Allium,carolinianum,,,perennial
delphinium,carolinianum,,,perennial
Elephantopus,carolinianus,,,perennial
Daucus,carota,,,annual
Daucus,carota,,,biennial/perennial
Daucus,carota,,,perennial
Daucus,carota,,,perennial
Daucus,carota,,,perennial
Daucus,carota,,,annual/biennial
Daucus,carota,,,perennial
Antennaria,carpatica,,,perennial
Antennaria,carpatica,,,perennial
Antennaria,carpatica,,,perennial
Antennaria,carpatica,,,perennial
Chaenactis,carphoclinia,,,annual
Lepidosperma,carphoides,,,perennial
Artemisia,carruthii,,,perennial
Crotalaria,carsonii,,,annual
Eulophia,carsonii,,,perennial
Satyrium,carsonii,,,perennial
Pandiaka,carsonii,,,perennial
Medicago,carstiensis,,,perennial
Dalea,carthagenensis,,,perennial
Pyrrocoma,carthamoides,,,perennial
Dryopteris,carthusiana,,,perennial
Dianthus,carthusianorum,,,perennial
Dianthus,carthusianorum,,,perennial
Dianthus,carthusianorum,,,perennial
Achillea,cartilaginea,,,perennial
Lepidium,cartilagineum,,,perennial
Euphorbia,carunculata,,,annual
Carum,carvi,,,biennial
Carum,carvi,,,perennial
Carum,carvi,,,biennial/perennial
Carum,carvi,,,biannual/perennial
Peucedanum,carvifolia,,,perennial
Selinum,carvifolia,,,perennial
Peucedanum,carvifolia,,,perennial
Selinum,carvifolia,,,perennial
Selinum,carvifolia,,,perennial
Orobanche,caryophyllacea,,,perennial
Orobanche,caryophyllacea,,,annual/biennial/perennial
Gladiolus,caryophyllaceus,,,perennial
Aira,caryophyllea,,,annual
Carex,caryophyllea,,,perennial
Aira,caryophyllea,,,annual
Carex,caryophyllea,,,perennial
Carex,caryophyllea,,,perennial
Dianthus,caryophyllus,,,perennial
Delphinium,cashmerianum,,,perennial
Bonatea,cassidea,,,perennial
Schoenia,cassiniana,,,annual
Vicia,cassubica,,,perennial
Vicia,cassubica,,,perennial
Cuscuta,cassytoides,,,annual
Aloe,castanea,,,perennial
Juncus,castaneus,,,perennial
Agrostis,castellana,,,perennial
Agrostis,castellana,,,perennial
Hieracium,castellanum,,,perennial
Aloe,castellorum,,,perennial
