genus,species,subspecies,variant,nfix
Racosperma,aduncum,,,yes
Astragalus,aduncus,,,yes
Luffa,aegyptiaca,,,no
Dactyloctenium,aegyptium,,,no
Dactyloctenium,aegyptium,,,no
Dactyloctenium,aegyptium,,,yes
Dactyloctenium,aegyptium,,,no
Banksia,aemula,,,no
Tephrosia,aemula,,,yes
Banksia,aemula,,,yes
Piper,aequale,,,no
Piper,aequale,,,no
Piper,aequale,,,yes
Alopecurus,aequalis,,,no
Alopecurus,aequalis,,,yes
Alopecurus,aequalis,,,no
Tephrosia,aequilata,,,yes
Nothofagus,aequilateralis,,,yes
Eucalyptus,aequioperta,,,no
Eucalyptus,aequiperta,,,yes
Cuphea,aequipetala,,,yes
Godmania,aesculifolia,,,yes
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
