Genus,Species,Subspecies,Variant,Weight (g)
Calotis,breviseta,,,0.3344
Calotis,cuneata,,,2.21256
Calotis,cuneata,,cuneata,1.9564
Calotis,cuneifolia,,,0.71
Calotis,cymbacantha,,,1.2668
Calotis,dentex,,,1.52
Calotis,erinacea,,,1.14
Calotis,glandulosa,,,1.1596
Calotis,hispidula,,,0.86
Calotis,lappulacea,,,0.3948
Calotis,latiuscula,,,3.399
Calotis,moorei,,,1.6811024
Calotis,multicaulis,,,1.2258
Calotis,plumulifera,,,0.5
Calotis,porphyroglossa,,,0.4812
Calotis,pubescens,,,3.77
Calotis,scabiosifolia,,,3.1412
Calotis,scapigera,,,3.5252
Calotis,squamigera,,,0.75
Calotropis,gigantea,,,6.907
Calotropis,procera,,,9.57
Calpurnia,aurea,,,28
Calpurnia,aurea,aurea,,29
Calpurnia,sericea,,,12.1040816
Caltha,appendiculata,,,0.422
Caltha,leptosepala,biflora,,0.753
Caltha,leptosepala,,,0.6063
Caltha,palustris,,,1.1
Caltha,sagittata,,,0.385
Calycadenia,multiglandulosa,,,1.187
Calycadenia,oppositifolia,,,0.78
Calycadenia,pauciflora,,,0.84
Calycadenia,truncata,,,0.524
Calycera,eryngioides,,,7.1784
Calycogonium,bairdianum,,,0.1304
Calycogonium,hispidulum,,,0.01648
Calycopeplus,marginatus,,,6.775
Calycorectes,bergii,,,20115
Calycoseris,wrightii,,,0.7248
Calylophus,lavandulifolius,,,1.42525
Calyptocarpus,vialis,,,1.3976
Calyptranthes,lanceolata,,,371
Calyptranthes,longifolia,,,481
Calyptranthes,multiflora,,,475
Calystegia,affinis,,,30.7790698
Calystegia,collina,collina,,12.7982578
Calystegia,longipes,,,13.4372
Calystegia,macrostegia,,,11.8
Calystegia,marginata,,,13.3896
Calystegia,occidentalis,,,14.14
Calystegia,occidentalis,occidentalis,,7.983
Calystegia,purpurata,,,17.044
Calystegia,purpurata,purpurata,,8.775
Calystegia,purpurata,saxicola,,26.15
Calystegia,sepium,sepium,,30.7288136
Calystegia,sepium,roseata,,22.3652941
Calystegia,sepium,,,28.2
Calystegia,silvatica,,,21.256
Calystegia,soldanella,,,51.499
Calystegia,tuguriorum,,,33.1
Calytrix,acutifolia,,,0.9096
Calytrix,arborescens,,,1.04272
Calytrix,brevifolia,,,8.3236
Calytrix,breviseta,breviseta,,2.4356
Calytrix,brownii,,,1.066
Calytrix,depressa,,,1.89492
Calytrix,ecalycata,brevis,,1.97196
Calytrix,exstipulata,,,2.6874
Calytrix,fraseri,,,2.7728
Calytrix,gurulmundensis,,,4.5932
Calytrix,involucrata,,,2.0132
Calytrix,leptophylla,,,1.8552
Calytrix,leschenaultii,,,1.1728
Calytrix,longiflora,,,10.2108
Calytrix,parvivallis,,,0.9992982
Calytrix,paucicostata,,,1.0823529
Calytrix,platycheiridia,,,1.476
Calytrix,smeatoniana,,,0.696
Calytrix,tetragona,,,1.6459
Calytrix,verticillata,,,1.20484
Camelina,alyssum,,,0.2888
Camelina,dentata,,,2.65
Camelina,laxa,,,0.41408
Camelina,microcarpa,,,0.3
Camelina,rumelica,,,0.5
Camelina,sativa,,,1
Camellia,japonica,,,1075
Camellia,oleifera,,,508
Camellia,saluenensis,,,454.55
Camellia,sasanqua,,,507.61
Camellia,sinensis,,,1405.2
Camissonia,andina,,,0.07
Camissonia,bistorta,,,0.138
Camissonia,brevipes,,,0.1164
Camissonia,californica,,,0.39
Camissonia,cf.,,,0.048
Camissonia,cheiranthifolia,suffruticosa,,0.157
Camissonia,cheiranthifolia,,,0.175
Camissonia,claviformis,,,0.132
Camissonia,claviformis,aurantiaca,,0.054
Camissonia,claviformis,claviformis,,0.279875
Camissonia,claviformis,cruciformis,,0.08
Camissonia,contorta,,,0.048
Camissonia,dentata,,,0.08
Camissonia,hirtella,,,0.07
Camissonia,kernensis,kernensis,,0.0884
Camissonia,micrantha,,,0.082
Camissonia,ovata,,,0.306
Camissonia,palmeri,,,0.157
Camissonia,parvula,,,0.0488
Camissonia,tanacetifolia,,,0.432
Camissonia,tanacetifolia,tanacetifolia,,0.296
Camissonia,walkeri,tortilis,,0.097
Campanula,ajugifolia,,,0.0392
Campanula,albanica,,,0.03656
Campanula,alliariifolia,,,0.247
Campanula,alliariifolia,alliariifolia,,0.2196
Campanula,alliariifolia,letschchumensis,,0.24112
Campanula,alpestris,,,0.41
Campanula,alpina,,,0.3332
Campanula,alpina,alpina,,0.3804
Campanula,americana,,,0.167
Campanula,aparinoides,,,0.122
Campanula,argunensis,,,0.0314961
Campanula,armazica,,,0.476
Campanula,armena,,,0.0332
Campanula,barbata,,,0.091
Campanula,bellidifolia,,,0.4648
Campanula,bertolae,,,0.2051865
Campanula,betulifolia,,,0.0406
Campanula,bononiensis,,,0.096
Campanula,californica,,,0.046
Campanula,calycantherrea,,,0.24
Campanula,camptoclada,,,0.0332
Campanula,carpatha,,,0.0392
Campanula,carpatica,,,0.06
Campanula,celsii,,,0.1048
Campanula,cervicaria,,,0.066
Campanula,cochleariifolia,,,0.0453
Campanula,collina,fondervisii,,0.1972
Campanula,collina,,,0.0536
Campanula,coriacea,,,0.08
Campanula,crispa,,,0.02912
Campanula,cymbalaria,,,0.097
Campanula,dimorphantha,,,0.0096
Campanula,divaricata,,,0.04404
Campanula,doluchanovii,,,0.2692
Campanula,dulcis,,,0.02024
Campanula,elatines,,,0.034
Campanula,elatinoides,,,0.03392
Campanula,erinus,,,0.0132
Campanula,euxina,,,0.0316
Campanula,excisa,,,0.1089623
Campanula,formanekiana,,,0.148
Campanula,forsythii,,,0.0722807
Campanula,fragilis,,,0.0391304
Campanula,fragilis,fragilis,,0.0208
Campanula,fragilis,cavolinii,,0.0156
Campanula,garganica,,,0.036
Campanula,glomerata,farinosa,,0.132
Campanula,glomerata,symphytifolia,,0.1448
Campanula,glomerata,,,0.16
Campanula,glomerata,glomerata,,0.058
Campanula,glomerata,elliptica,,0.1466
Campanula,glomerata,oblongifolia,,0.2676
Campanula,grossekii,,,0.0764
Campanula,herminii,,,0.059
Campanula,hierosolymitana,,,0.054
Campanula,hofmannii,,,0.2012
Campanula,hypopolia,,,0.126
Campanula,imeretina,,,0.0744
Campanula,incurva,,,0.077
Campanula,irinae,,,0.103211
Campanula,kachethica,,,0.034
Campanula,kantschavelii,,,0.052
Campanula,kolenatiana,,,0.06768
Campanula,lactiflora,,,0.0288
Campanula,latifolia,,,0.33
Campanula,lavrensis,,,0.0292
Campanula,lingulata,,,0.1596
Campanula,lusitanica,,,0.0132
Campanula,macrorhiza,,,0.067
Campanula,macrostachya,,,0.0612
Campanula,medium,,,0.19
Campanula,moravica,,,0.089
Campanula,olympica,,,0.0352
Campanula,orphanidea,,,0.0952
Campanula,patula,,,0.0239
Campanula,pelia,,,0.05407
Campanula,pendula,,,1.16
Campanula,pendula,,,0.0136
Campanula,peregrina,,,0.03
Campanula,persicifolia,,,0.1
Campanula,petrophila,,,0.4844
Campanula,prenanthoides,,,0.066
Campanula,primulifolia,,,0.1088
Campanula,punctata,,hondoensis,0.07
Campanula,raddeana,,,0.029
Campanula,raineri,,,0.0477
Campanula,rapunculoides,cordifolia,,0.1608
Campanula,rapunculoides,,,0.2
Campanula,rapunculus,lambertiana,,0.2216
Campanula,rapunculus,,,0.04
Campanula,rhomboidalis,,,0.0472
Campanula,rotundifolia,,,0.06
Campanula,rumeliana,,,0.1
Campanula,sabatia,,,0.0764
Campanula,sarmatica,,,0.402
Campanula,saxifraga,aucheri,,0.5632
Campanula,scheuchzeri,pollinensis,,0.1244
Campanula,scheuchzeri,,,0.0568
Campanula,scouleri,,,0.195
Campanula,serrata,,,0.0636
Campanula,sibirica,charadzae,,0.1056
Campanula,sibirica,taurica,,0.1016
Campanula,sibirica,hohenackeri,,0.1572
Campanula,sibirica,,,0.062
Campanula,sibirica,divergens,,0.0508
Campanula,sp.,,,0.19
Campanula,sparsa,,,0.0664
Campanula,spatulata,spruneriana,,0.0114
Campanula,spicata,,,0.05
Campanula,stellaris,,,0.0508
Campanula,stenocodon,,,0.04
Campanula,stevenii,,,0.0344
Campanula,stevenii,beauverdiana,,0.0448
Campanula,stricta,,libanotica,1.2308
Campanula,strigosa,,,0.0634
Campanula,suanetica,,,0.0584
Campanula,sulphurea,,,0.03
Campanula,thyrsoides,,,0.093
Campanula,tomentosa,,,0.0804
Campanula,topaliana,delphica,,0.0505051
Campanula,trachelium,,,0.15
Campanula,tridentata,biebersteiniana,,0.3083665
Campanula,tridentata,,,0.2964
Campanula,velebitica,,,0.096
Campanula,versicolor,,,0.03004
Campanula,xylocarpa,,,0.05148
Camphorosma,annua,,,0.5888
Camphorosma,monspeliaca,lessingii,,0.2791339
Camphorosma,monspeliaca,,,1.4011189
Campnosperma,brevipetiolata,,,26
Campsiandra,comosa,,,6129
Campsis,radicans,,,4.4
Camptacra,barbata,,,0.7716
Camptoloma,rotundifolia,,,0.02592
Camptosema,rubicundum,,,133.5
Campylotropis,delavayi,,,4.9756
Campylotropis,harmsii,,,10.8252
Campylotropis,polyantha,,,5.8412
Canadanthus,modestus,,,0.2824
Canarina,canariensis,,,1.20988
Canarium,album,,,1554
Canarium,apertum,,,9000
Canarium,australasicum,,,678.88
Canarium,australianum,,,639
Canarium,bengalense,,,6899
Canarium,boivinii,,,3310
Canarium,commune,,,7143
Canarium,denticulatum,denticulatum,,10100
Canarium,euphyllum,,,2174
Canarium,littorale,,,8300
Canarium,madagascariense,,,3834.6
Canarium,mehenbethene,,,14286
Canarium,odoratum,,,40
Canarium,paniculatum,,,3283.26
Canarium,samoense,,,500
Canarium,schweinfurthii,,,1402.4553571
Canarium,strictum,,,4762
Canarium,vitiense,,,650
Canavalia,brasiliensis,,,485.545
Canavalia,cathartica,,,877.887931
Canavalia,ensiformis,,,800
Canavalia,gladiata,,,1365
Canavalia,kauaiensis,,,1250.7454545
Canavalia,madagascariensis,,,764.09
Canavalia,papuana,,,495.2325581
Canavalia,rosea,,,593.9
Canavalia,sp.,,,4900
Canavalia,villosa,,,361.52
Canavalia,virosa,,,965.974026
Canephora,madagascariensis,,,7.001
Cannabis,sativa,,spontanea,7.315
Cannabis,sativa,,,18.3
Canotia,holacantha,,,5.498
Canscora,alata,,,0.021
Canscora,diffusa,,,0.0576
Canthium,coprosmoides,,,58
Canthium,glabrum,,,57
Canthium,inerme,,,104.3286
Cantinoa,mutabilis,,,0.27
Caperonia,palustris,,,6.29
Caperonia,serrata,,,9.4915
Caperonia,stuhlmannii,,,10.925625
Capnoides,sempervirens,,,0.474
Capnophyllum,africanum,,,6.046
Capparis,aegyptia,,,6.427
Capparis,arborea,,,86.3817143
Capparis,baducca,,,120
Capparis,brassii,,,115.0441
Capparis,cartilaginea,,,5.1052
Capparis,chrysomeia,,,34.47
Capparis,corymbosa,,,217.5304
Capparis,cynophallophora,,,54
Capparis,decidua,,,41.9
Capparis,domingensis,,,25.6108
Capparis,erythrocarpos,,,46.6012
Capparis,ferruginea,,,30.192
Capparis,flexuosa,,,67.0056
Capparis,frondosa,,,97
Capparis,hereroensis,,,12.7248
Capparis,lasiantha,,,23.0079365
Capparis,loranthifolia,,loranthifolia,95.2344828
Capparis,mitchellii,,,108.324
Capparis,mollicella,,,220
Capparis,nobilis,,,95.8273973
Capparis,odoratissima,,,42.18
Capparis,orientalis,,,4.4356
Capparis,ornans,,,164
Capparis,ovata,,,6.062
Capparis,sarmentosa,,,39.0864
Capparis,sepiaria,,citrifolia,41.7144
Capparis,sicula,,,8.1972
Capparis,sicula,herbacea,,9.5192
Capparis,sicula,leucophylla,,3.5444
Capparis,spinosa,,,9
Capparis,tenuisiliqua,,,38.31
Capparis,tomentosa,,,181.676
Capparis,umbonata,,,220
Capparis,zoharyi,,,11.07
Capraria,biflora,,,0.02
Capsella,bursa-pastoris,,,0.1
Capsella,rubella,,,0.0877193
Capsicum,annuum,,minus,1.185
Capsicum,annuum,,,6
Capsicum,annuum,,glabriusculum,2.7482
Capsicum,coccineum,,,7
Capsicum,frutescens,,,5
Capurodendron,delphinense,,,1455.3796766
Capuronia,benoistii,,,1.99
Caragana,arborescens,,,26
Caragana,camilli-schneideri,,,26.4064
Caragana,grandiflora,,,20.5596
Caragana,kirghisorum,,,26.3044
Caragana,korshinskii,,,49.9
Caragana,laeta,,,25.8112
Caragana,microphylla,,,38.4356
Caragana,turfanensis,,,4.8421053
Carallia,lucida,,,35.97
Caralluma,acutangula,,,6.5
Caralluma,socotrana,,,3.23364
Carapa,guianensis,,,17696
Carapa,procera,,,20628
Cardamine,amara,opizii,,0.3384
Cardamine,amara,,,0.4911
Cardamine,asarifolia,,,0.5816
Cardamine,astoniae,,,0.6812
Cardamine,bellidifolia,pachyphylla,,0.168
Cardamine,bulbifera,,,42.8
Cardamine,californica,,,0.847
Cardamine,chelidonia,,,1.3856
Cardamine,concatenata,,,1.8624
Cardamine,douglassii,,,0.48
Cardamine,enneaphyllos,,,5.0058
Cardamine,flexuosa,,,0.17
Cardamine,glacialis,,,0.193
Cardamine,glanduligera,,,2.4188
Cardamine,graeca,,,0.152
Cardamine,griffithii,,griffithii,0.0644
Cardamine,gunnii,,,0.1516
Cardamine,heptaphylla,,,6.56
Cardamine,hirsuta,,,0.12
Cardamine,impatiens,pectinata,,0.0916
Cardamine,impatiens,,,0.1772
Cardamine,laciniata,,,1.638
Cardamine,lilacina,,,0.5564
Cardamine,lineariloba,,,0.11816
Cardamine,microthrix,,,0.163
Cardamine,moirensis,,,0.1364
Cardamine,oligosperma,,,0.152
Cardamine,parviflora,,,0.085
Cardamine,pennsylvanica,,,0.074
Cardamine,plumieri,,,0.21616
Cardamine,pratensis,rivularis,,0.4264
Cardamine,pratensis,matthiolii,,0.1438
Cardamine,pratensis,,,0.54
Cardamine,quinquefolia,,,2.25
Cardamine,resedifolia,,,0.226
Cardamine,seidlitziana,,,0.2152
Cardamine,tenuifolia,,,0.3668
Cardamine,uliginosa,,,0.17596
Cardamine,waldsteinii,,,0.916
Cardamine,yunnanensis,,,0.086
Cardaminopsis,arenosa,,,0.068
Cardaria,draba,,,2.15
Cardaria,pubescens,,,1
Cardiochlamys,madagascariensis,,,33.1188
Cardionema,ramosissima,,,1.391
Cardiopteris,moluccana,,,11
Cardiospermum,corindum,,,36.9
Cardiospermum,halicacabum,,microcarpum,44.6688
Cardiospermum,halicacabum,,,47
Cardiospermum,microcarpum,,,44
Cardiospermum,pechuelii,,,46.6728
Cardopatium,corymbosum,,,10.5
Carduus,acanthoides,,,2.41
Carduus,acicularis,,,4.67172
Carduus,adpressus,,,2.1676
Carduus,affinis,,,3.0071429
Carduus,affinis,affinis,,2.7529
Carduus,affinis,brutius,,7.5
Carduus,argentatus,,,7.6808
Carduus,candicans,,,3.7888
Carduus,carlinifolius,,,3.5225
Carduus,cephalanthus,,,1.6054
Carduus,crispus,,,1.635
Carduus,defloratus,,,2.6776
Carduus,glaucinus,,,2.78
Carduus,hamulosus,,,3
Carduus,hohenackeri,,,3.7052
Carduus,keniensis,,,2.4864
Carduus,kerneri,austro-orientalis,,2.3596
Carduus,litigiosus,,,1.9716667
Carduus,lusitanicus,,,2.9415625
Carduus,nervosus,,,4.0688
Carduus,nutans,,,3.9
Carduus,onopordioides,,,5.7232
Carduus,personata,personata,,1.7092
Carduus,pycnocephalus,albidus,,2.5068
Carduus,pycnocephalus,,,5.286
Carduus,schimperi,schimperi,,14.7724
Carduus,seminudus,,,4.372
Carduus,silvarum,,,5.3704
Carduus,tenuiflorus,,,3.517
Carduus,thracicus,,,1.8913462
Cardwellia,sublimis,,,582
Careya,arborea,,,357.14
Carica,candamarcensis,,,35.4
Carica,microcarpa,,,117
Carica,papaya,,,23
Carinavalva,glauca,,,0.1604
Cariniana,pyriformis,,,128.21
Carissa,bispinosa,,,23.3981
Carissa,bispinosa,zambesiensis,,26.5054545
Carissa,boiviniana,,,192.7464
Carissa,macrocarpa,,,13.7629464
Carissa,spinarum,,,68.868
Carissa,tetramera,,,25.996
Carlina,acanthifolia,,,7.0176
Carlina,acaulis,caulescens,,5.4432432
Carlina,acaulis,acaulis,,3.0856
Carlina,acaulis,,,4.05
Carlina,biebersteinii,brevibracteata,,1.236
Carlina,corymbosa,,,1.36
Carlina,curetum,,,1.876
Carlina,gummifera,,,5.1705882
Carlina,involucrata,,,3.432
Carlina,lanata,,,1.3809
Carlina,racemosa,,,10.2978
Carlina,vulgaris,,,1.26
Carmichaelia,appressa,,,3.388
Carmichaelia,arborea,,,4.3325
Carmichaelia,australis,,,4.2442
Carmichaelia,crassicaulis,,,4.1696
Carmichaelia,exsul,,,15.6714286
Carmichaelia,petriei,,,2.6351852
Carmichaelia,stevensonii,,,2.5112
Carnegiea,gigantea,,,1.3
Carpanthea,pomeridiana,,,0.86
Carpenteria,californica,,,0.09
Carpesium,cernuum,,,0.7326
Carphalea,kirondron,kirondron,,5.4596
Carphalea,kirondron,,,5.9576
Carphephorus,paniculatus,,,2.764
Carphephorus,pseudoliatris,,,1.7164
Carphochaete,wislizeni,,,1.2
Carpinus,betulus,,,42
Carpinus,caroliniana,caroliniana,,15.5484
Carpinus,caroliniana,,,26
Carpinus,cordata,,,8
Carpinus,japonica,,,4
Carpinus,laxiflora,,,3
Carpinus,londoniana,,,9.7872
Carpinus,orientalis,,,14.8
Carpinus,schuschaensis,,,34.7096
Carpinus,tschonoskii,,,13
Carpobrotus,chilensis,,,0.34
Carpobrotus,deliciosus,,,0.3804
Carpobrotus,dimidiatus,,,0.33
Carpobrotus,edulis,,,0.3684
Carpobrotus,glaucescens,,,0.2328
Carpobrotus,modestus,,,0.1396
Carpobrotus,rossii,,,0.218
Carpodetus,serratus,,,0.5
Carpodiptera,africana,,,39.14
Carpodiptera,hexaptera,,,20.784
Carpolobia,goetzei,,,25.5656
Carpotroche,sp.,,,116.7
Carrichtera,annua,,,0.9
Carrierea,dunniana,,,584.3744
Carronia,protensa,,,102
Carthamus,arborescens,,,18
Carthamus,dentatus,,,18.0872
Carthamus,flavescens,,,29.6
Carthamus,glaucus,,,24
Carthamus,glaucus,anatolicus,,19.6
Carthamus,lanatus,,,11
Carthamus,nitidus,,,16.3
Carthamus,oxyacantha,,,10
Carthamus,oxyacanthus,,,12.8936
Carthamus,persicus,,,14.218
Carthamus,tenuis,,,14.13
Carthamus,tenuis,foliosus,,19.58
Carthamus,tinctorius,,,35.2
Carthamus,turkestanicus,,,28.65
Carum,appuanum,,,1.2039024
Carum,carvi,,,2.25
Carum,caucasicum,,,1.752
Carum,graecum,,,1.3276
Carum,meifolium,,,1.4548
Carum,porphyrocoleon,,,1.3224
Carum,verticillatum,,,0.706
Carvalhoa,campanulata,,,21.1098901
Carya,aquatica,,,2771.8
Carya,cordiformis,,,2797.6
Carya,glabra,,,3502
Carya,illinoinensis,,,4142
Carya,laciniosa,,,15141
Carya,myristicaeformis,,,3681
Carya,ovata,,,4401
Carya,tomentosa,,,5529
Caryocar,glabrum,glabrum,,6900
Caryocar,nuciferum,,,59886.7
Caryotophora,skiatophytoides,,,9.2
Casasia,clusiifolia,,,37.476
Casearia,aculeata,,,23
Casearia,arborea,,,1.65
Casearia,battiscombei,,,21.4817829
Casearia,dallachii,,,3
Casearia,decandra,,,88.1
Casearia,fasciculata,,,386
Casearia,hirsuta,,,14.2
Casearia,ilicifolia,,,2.8776
Casearia,javitensis,,,40
Casearia,mollis,,,31.41
Casearia,sylvestris,,,2
Casimiroa,edulis,,,2722
Casimiroa,tetrameria,,,4738
Cassia,abbreviata,abbreviata,,356.9713355
Cassia,abbreviata,kassneri,,200.6932
Cassia,abbreviata,beareana,,236.1935484
Cassia,artemisioides,,,11.89
Cassia,bauhinioides,,,5
Cassia,biflora,,,3.4E-05
Cassia,bonariensis,,,18.7
Cassia,brewsteri,,,138.68
Cassia,cowanii,,,660
Cassia,didymobotrya,,,44.6
Cassia,emarginata,,,35.6
Cassia,eremophila,,,20.61
Cassia,fasciculata,,,8
Cassia,fistula,,,666
Cassia,grandiflora,,,21.38
Cassia,grandis,,,474
Cassia,helmsii,,,28.198
Cassia,hippophallus,,,241.5252
Cassia,javanica,nodosa,,215
Cassia,javanica,,,249.2
Cassia,leptadenia,,,4.1
Cassia,leptocarpa,,,10.4
Cassia,marginata,,,210.53
Cassia,marilandica,,,21.7
Cassia,marksiana,,,75.164
Cassia,mimosifolia,,,2.62
Cassia,mimosoides,,,3.23
Cassia,moschata,,,83.99
Cassia,multiglandulosa,,,30
Cassia,nemophila,,zygophylla,32.636
Cassia,nemophila,,nemophila,26.176
Cassia,occidentalis,,,16
Cassia,oligophylla,,,16.02
Cassia,purpurea,,,13.3
Cassia,renigera,,,166.24
Cassia,sieberiana,,,123.99
Cassia,sp.,,,20
Cassia,spectabilis,,,27.2
Cassia,sturtii,,,16.9524
Cassia,tomentella,,,85.8024
Cassia,tora,,uniflora,19
Cassia,uniflora,,,14.1
Cassia,venusta,,,32.3
Cassia,wislizeni,,,11.7
Cassine,eucleaeformis,,,15.3
Cassine,orientalis,,,449.183366
Cassine,papillosa,,,86
Cassine,schinoides,,,83.2542373
Cassinia,aculeata,,,0.07
Cassinia,adunca,,,0.08
Cassinia,arcuata,,,0.0796
Cassinia,aureonitens,,,0.08196
Cassinia,compacta,,,0.489
Cassinia,copensis,,,0.112
Cassinia,cunninghamii,,,0.148
Cassinia,decipiens,,,0.0928
Cassinia,denticulata,,,0.1244
Cassinia,diminuta,,,0.04952
Cassinia,hewsoniae,,,0.106
Cassinia,laevis,,,0.0783
Cassinia,leptocephala,everettiae,,0.152
Cassinia,longifolia,,,0.08296
Cassinia,macrocephala,macrocephala,,0.1536
Cassinia,maritima,,,0.102
Cassinia,monticola,,,0.106
Cassinia,nivalis,,,0.0716
Cassinia,ozothamnoides,,,0.0476
Cassinia,quinquefaria,,,0.08
Cassinia,rugata,,,0.1491
Cassinia,scabrida,,,0.0468
Cassinia,subtropica,,,0.1048
Cassinia,tegulata,,,0.203
Cassinia,telfordii,,,0.126
Cassinia,tenuifolia,,,0.1244
Cassinia,trinerva,,,0.184
Cassinia,uncata,,,0.09582
Cassinia,venusta,,,0.082
Cassinopsis,ilicifolia,,,168.4851
Cassiope,mertensiana,,,0.018
Castanea,crenata,,,20586
Castanea,dentata,,,3467.3
Castanea,mollissima,,,7421.47
Castanea,sativa,,,9944
Castanopsis,chinensis,,,400
Castanopsis,chrysophylla,,minor,647.9891
Castanopsis,chrysophylla,,,470.04
Castanopsis,fissa,,,1155
Castanopsis,purpurella,,,94.32
Castanopsis,sempervirens,,,377.993
Castanopsis,wallichii,,,1400
Castanospermum,australe,,,23583
Castanospora,alphandi,,,2765
Castela,emoryi,,,34.141
Castela,erecta,texana,,82.61
Castela,peninsularis,,,44.8844
Castela,tortuosa,,,128.7
Castilla,elastica,,,568.18
Castilleja,affinis,,,0.222
Castilleja,affinis,affinis,,0.1568
Castilleja,ambigua,,,0.129
Castilleja,ambigua,humboldtiensis,,2.52824
Castilleja,angustifolia,,,0.336
Castilleja,applegatei,,,0.246
Castilleja,applegatei,pallida,,0.247
Castilleja,applegatei,martini,,0.128
Castilleja,applegatei,pinetorum,,0.26224
Castilleja,attenuata,,,0.113
Castilleja,coccinea,,,0.042
Castilleja,cusickii,,,0.0776
Castilleja,densiflora,,,0.031
Castilleja,densiflora,gracilis,,0.0304
Castilleja,elmeri,,,0.25
Castilleja,exserta,,,0.2012
Castilleja,flava,,,0.9932
Castilleja,foliolosa,,,0.246
Castilleja,haydenii,,,0.2884
Castilleja,hispida,brevilobata,,0.107
Castilleja,indivisa,,,0.0828
Castilleja,integra,,,0.2108
Castilleja,lacera,,,0.026
Castilleja,lanata,,,0.13
Castilleja,latifolia,,,0.214
Castilleja,linariifolia,,,0.183
Castilleja,lineariloba,,,0.034
Castilleja,miniata,elata,,0.211
Castilleja,miniata,,,0.272
Castilleja,minor,minor,,0.135
Castilleja,nana,,,0.183
Castilleja,occidentalis,,,0.2668
Castilleja,oresbia,,,0.19484
Castilleja,pilosa,,,0.115
Castilleja,pilosa,,,0.177
Castilleja,pruinosa,,,0.2804
Castilleja,purpurea,,purpurea,0.1268
Castilleja,rhexifolia,,rhexifolia,0.4932
Castilleja,sessiliflora,,,0.179
Castilleja,subinclusa,franciscana,,0.254
Castilleja,sulphurea,,,0.4056
Castilleja,tenuiflora,,,0.123
Castilleja,tenuis,,,0.076
Castilleja,thompsonii,,,0.0632
Castilleja,unalaschcensis,,,0.5396
Castilleja,wightii,,,0.121
Casuarina,acutivalvis,,,13.79
Casuarina,cristata,,,9.01
Casuarina,cunninghamiana,cunninghamiana,,0.3324
Casuarina,cunninghamiana,,,1.57
Casuarina,equisetifolia,,,4
Casuarina,equisetifolia,incana,,1.5632
Casuarina,glauca,,,3
Casuarina,junghuhniana,,,0.57
Casuarina,montana,,,6.41
Casuarina,obesa,,,0.88
Casuarina,oligodon,,,8.11
Casuarina,pauper,,,1.706
Casuarina,stricta,,,1.29
Casuarina,teres,,,0.916
Casuarina,torulosa,,,3.1
Catalpa,bignonioides,,,24.4
Catalpa,bungei,,,3.2212
Catalpa,fargesii,,,4.086
Catalpa,ovata,,,2.34
Catalpa,speciosa,,,18.83
Catananche,caerulea,,,3.2752
Catananche,lutea,,,2.2004
Catha,edulis,,,1.7022
Catharanthus,roseus,,,1.4
Catharanthus,trichophyllus,,,1.704
Catoferia,chiapensis,,,2.1153846
Catophractes,alexandri,,,20.505
Catostemma,commune,,,19240
Catostemma,fragrans,,,31266.7
Catunaregam,nilotica,,,20.3756
Catunaregam,spinosa,taylorii,,25
Catunaregam,spinosa,,,22.87
Catunaregam,taylorii,,,29.3368
Caucalis,daucoides,,,66.5
Caucalis,platycarpos,,,25.76
Caucasalia,parviflora,,,1.1857143
Caucasalia,pontica,,,2.504
Caulanthus,coulteri,,,0.472
Caulanthus,heterophyllus,,,0.123
Caulanthus,heterophyllus,,heterophyllus,0.152
Caulanthus,inflatus,,,1.6
Caulanthus,pilosus,,,0.7108
Caulophyllum,thalictroides,,,198.6
Cavacoa,aurea,,,121
Cavanillesia,platanifolia,,,1459
Cayaponia,americana,,,96.1188811
Cayaponia,racemosa,,,55.17
Caylusea,abyssinica,,,0.597
Caylusea,hexagyna,,,0.2375
Cayratia,gracilis,,,16.43
Cayratia,ibuensis,,,13.755
Cayratia,saponaria,,,23
Cayratia,trifolia,,,24.48
Cayratia,triternata,,,10.404
Ceanothus,americanus,,,3.49
Ceanothus,arboreus,,,12.87
Ceanothus,cordulatus,,,3.7
Ceanothus,crassifolius,,,10
Ceanothus,cuneatus,,cuneatus,8.358
Ceanothus,cuneatus,,rigidus,5.256
Ceanothus,cuneatus,,,10
Ceanothus,dentatus,,,3.575
Ceanothus,diversifolius,,,5.399
Ceanothus,gloriosus,,,5.936
Ceanothus,gloriosus,,exaltatus,5.772
Ceanothus,gloriosus,,porrectus,3.76
Ceanothus,greggii,perplexans,,7.434
Ceanothus,greggii,,,10.7
Ceanothus,griseus,,,3.1
Ceanothus,impressus,,,5.3
Ceanothus,incanus,,,5.237
Ceanothus,integerrimus,,,6.3
Ceanothus,jepsonii,,,4.644
Ceanothus,lemmonii,,,4.354
Ceanothus,leucodermis,,,6.8
Ceanothus,maritimus,,,9.445
Ceanothus,martini,,,5.817
Ceanothus,megacarpus,,,24
Ceanothus,oliganthus,,sorediatus,3.381
Ceanothus,oliganthus,,,6
Ceanothus,palmeri,,,7.202
Ceanothus,papillosus,,,2.195
Ceanothus,papillosus,roweanus,,2.204
Ceanothus,parryi,,,3.269
Ceanothus,prostratus,,,10
Ceanothus,pumilus,,,5.2752
Ceanothus,purpureus,,,6.83
Ceanothus,rigidus,,,5.9
Ceanothus,sanguineus,,,3.48
Ceanothus,sorediatus,,,3.73
Ceanothus,spinosus,,,9.2
