sp_tpl,tpl_authority,order,family,genus,Lifeform,Seed.mass,Precip_Avg,Precip_SD,support,woodiness,nfixing,dormancy,lifeform_baskin,biome,table,rank,duplicated_sp,dormancy_g3,dormancy_g2
Eragrostis trichodes,(Nutt.) Alph.Wood,Poales,Poaceae,Eragrostis,,NA,854.5,229.2635659,F,H,NA,PD,Herbaceous/Shrub,Non-Saline Sands,1120,13558,no,PD,PD
Erepsia anceps,(Haw.) Schwantes,Caryophyllales,Aizoaceae,Erepsia,,NA,712.5,155.620155,NA,NA,NA,PD,herb,matorral,1004,7943,no,PD,PD
Ericameria nauseosa,,Asterales,Asteraceae,Ericameria,,NA,765,254.2635659,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Erigeron speciosus,(Lindl.) DC.,Asterales,Asteraceae,Erigeron,,NA,1418,461.627907,F,H,No,ND,herb,montane forest,1037,11988,no,ND,ND
Eriocephalus africanus,L.,Asterales,Asteraceae,Eriocephalus,,NA,866.5,297.4806202,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Eriocephalus microphyllus,DC.,Asterales,Asteraceae,Eriocephalus,,NA,304,98.8372093,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Eriogonum fasciculatum,Benth.,Caryophyllales,Polygonaceae,Eriogonum,,NA,903,329.0697674,NA,NA,NA,PD,shrub,"hot semidesert, desert",928,5723,yes,PD,PD
Eriogonum umbellatum,Torr.,Caryophyllales,Polygonaceae,Eriogonum,,NA,1503,552.3255814,NA,NA,NA,PD,herb,montane forest,1037,11990,yes,PD,PD
Eryngium campestre,L.,Apiales,Apiaceae,Eryngium,,NA,1151,359.6899225,F,H,No,NA,NA,NA,NA,NA,no,NA,NA
Erysimum capitatum,(Douglas) Greene,Brassicales,Brassicaceae,Erysimum,,NA,1447.5,527.3255814,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Erythrina velutina,Willd.,Fabales,Fabaceae,Erythrina,,NA,1374.5,464.1472868,NA,NA,NA,PY,Tree,Tropical Deciduous,918,4372,no,PY,PY
Eschscholzia californica,Cham.,Ranunculales,Papaveraceae,Eschscholzia,,NA,1537.5,577.7131783,F,H,NA,MPD,herb,matorral,1004,7950,no,MPD,MPD
Eucalyptus angulosa,Schauer,Myrtales,Myrtaceae,Eucalyptus,,NA,725,166.2790698,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
