"Code","orig_name","old_name","name","speciesid"
169,"Gentiana cruciata","Gentiana cruciata","Gentiana cruciata","Gen_cru"
167,"Genista germanica","Genista germanica","Genista germanica","Gen_ger"
170,"Gentiana pneumonanthe","Gentiana pneumonanthe","Gentiana pneumonanthe","Gen_pne"
168,"Genista tinctoria","Genista tinctoria","Genista tinctoria","Gen_tin"
171,"Geranium columbinum","Geranium columbinum","Geranium columbinum","Ger_col"
172,"Geranium dissectum","Geranium dissectum","Geranium dissectum","Ger_dis"
173,"Geranium pratense","Geranium pratense","Geranium pratense","Ger_pra"
174,"Geranium pusillum","Geranium pusillum","Geranium pusillum","Ger_pus"
175,"Geranium sanguineum","Geranium sanguineum","Geranium sanguineum","Ger_san"
176,"Geum urbanum","Geum urbanum","Geum urbanum","Geu_urb"
177,"Gladiolus imbricatus","Gladiolus imbricatus","Gladiolus imbricatus","Gla_imb"
178,"Glechoma hederacea","Glechoma hederacea","Glechoma hederacea","Gle_hed"
179,"Gnaphalium sylvaticum","Gnaphalium sylvaticum","Gnaphalium sylvaticum","Gna_syl"
180,"Gymnadenia conopsea","Gymnadenia conopsea","Gymnadenia conopsea","Gym_con"
181,"Helianthemum grandiflorum subsp. obscurum","Helianthemum grandiflorum subsp. obscurum","Helianthemum ovatum","Hel_ova"
43,"Avenula pubescens","Avenula pubescens","Helictotrichon pubescens","Hel_pub"
182,"Helictochloa pratensis","Helictochloa pratensis","Helictochloa pratensis","Helictoch_pra"
183,"Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium","Her_sph"
184,"Hieracium sabaudum","Hieracium sabaudum","Hieracium sabaudum","Hie_sab"
185,"Holcus lanatus","Holcus lanatus","Holcus lanatus","Hol_lan"
186,"Hypericum hirsutum","Hypericum hirsutum","Hypericum hirsutum","Hyp_hir"
189,"Hypochaeris maculata","Hypochaeris maculata","Hypochaeris maculata","Hyp_mac"
187,"Hypericum maculatum","Hypericum maculatum","Hypericum maculatum","Hyp_macul"
188,"Hypericum perforatum","Hypericum perforatum","Hypericum perforatum","Hyp_per"
